"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"76";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;0;1158,20499999973;"L";1;1;NA;"A";"red";"black";"parity";7;0;99;99;99;99
"80";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;1;1473,53000000294;"A";1;1;NA;"L";"red";"black";"parity";8;0;0;1;0;1
"84";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;2;625,134999994771;"A";1;0;NA;"A";"blue";"black";"magnit";6;0;1;1;1;1
"88";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;3;611,089999998512;"L";1;0;NA;"L";"blue";"black";"magnit";1;0;0;1;0;0
"92";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;4;1301,35500000324;"L";1;0;NA;"L";"blue";"black";"parity";4;0;1;0;0;0
"96";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;5;813,184999999066;"L";1;0;NA;"L";"red";"black";"parity";6;0;0;0;1;0
"100";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;6;574,025000001711;"L";1;0;NA;"L";"red";"black";"parity";8;0;0;0;0;0
"104";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;7;844,209999995655;"L";1;0;NA;"L";"blue";"black";"parity";6;0;0;0;1;0
"108";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;8;787,335000000894;"L";1;0;NA;"L";"red";"black";"parity";2;0;0;0;1;0
"112";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;9;440,510000000359;"A";1;0;NA;"A";"blue";"black";"magnit";8;0;1;1;1;0
"116";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;10;746,014999996987;"A";1;0;NA;"A";"red";"black";"magnit";7;0;0;0;1;0
"120";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;11;482,819999997446;"L";1;0;NA;"L";"blue";"black";"magnit";4;0;0;1;1;0
"124";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;12;1248,53499999881;"L";1;1;NA;"A";"red";"black";"parity";1;0;1;1;1;0
"128";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;13;572,074999996403;"L";1;0;NA;"L";"blue";"black";"parity";6;0;0;1;1;1
"132";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;14;460,059999997611;"A";1;0;NA;"A";"blue";"black";"parity";9;0;0;1;0;0
"136";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;15;433,389999998326;"L";1;0;NA;"L";"blue";"black";"parity";2;0;0;1;0;0
"140";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;16;423,305000003893;"A";1;0;NA;"A";"blue";"black";"parity";1;0;0;1;0;0
"144";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;17;639,43499999732;"L";1;0;NA;"L";"blue";"black";"parity";4;0;0;1;0;0
"148";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;18;559,775000001537;"L";1;0;NA;"L";"red";"black";"magnit";2;0;1;0;1;0
"152";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;19;596,94500000478;"A";1;1;NA;"L";"blue";"black";"parity";8;0;1;0;1;0
"156";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;20;506,689999994705;"L";1;0;NA;"L";"red";"black";"magnit";1;0;1;0;1;1
"160";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;21;1531,71999999904;"A";1;0;NA;"A";"blue";"black";"parity";9;0;1;1;1;0
"164";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;22;446,554999994987;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;1;0;0;0
"168";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;23;680,07999999827;"A";1;0;NA;"A";"red";"black";"parity";9;0;1;0;1;0
"172";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;24;894,860000000335;"A";1;0;NA;"A";"blue";"black";"parity";3;0;0;0;1;0
"176";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;25;479,859999999462;"A";1;0;NA;"A";"red";"black";"magnit";9;0;1;0;1;0
"180";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;26;643,420000000333;"L";1;0;NA;"L";"red";"black";"parity";2;0;1;1;0;0
"184";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;27;770,089999998163;"L";1;0;NA;"L";"red";"black";"parity";4;0;0;0;0;0
"188";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;28;558,949999998731;"L";1;0;NA;"L";"red";"black";"magnit";3;0;1;0;0;0
"192";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;29;809,119999998074;"A";1;1;NA;"L";"red";"black";"parity";4;0;1;0;0;0
"196";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;30;790,209999999206;"A";1;0;NA;"A";"red";"black";"parity";3;0;0;1;0;1
"200";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;31;535,194999996747;"A";1;0;NA;"A";"red";"black";"parity";1;0;0;0;0;0
"204";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;32;551,325000000361;"L";1;0;NA;"L";"blue";"black";"magnit";2;0;1;1;1;0
"208";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;33;723,344999998517;"L";1;0;NA;"L";"blue";"black";"parity";8;0;1;0;0;0
"212";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;34;641,660000001139;"A";1;1;NA;"L";"blue";"black";"magnit";3;0;1;0;0;0
"216";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;35;523,35000000312;"A";1;0;NA;"A";"red";"black";"magnit";7;0;0;1;1;1
"220";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;36;1538,32500000135;"L";1;0;NA;"L";"red";"black";"magnit";3;0;0;1;0;0
"224";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;37;452,224999993632;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;0;1;1;0
"228";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;38;495,484999999462;"L";1;0;NA;"L";"blue";"black";"magnit";3;0;0;1;0;0
"232";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;39;621,869999995397;"A";1;0;NA;"A";"red";"black";"parity";9;0;1;1;1;0
"236";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;40;2501,10000000001;NA;NA;1;1;"A";"blue";"black";"magnit";7;0;1;0;1;0
"240";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;41;495,305000004009;"A";1;0;NA;"A";"blue";"black";"magnit";8;0;0;0;0;1
"244";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;42;594,529999994847;"L";1;1;NA;"A";"red";"black";"parity";3;0;1;0;1;0
"248";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;43;477,685000005295;"A";1;0;NA;"A";"blue";"black";"magnit";9;0;1;0;1;1
"252";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;44;565,824999997858;"A";1;0;NA;"A";"red";"black";"magnit";6;0;0;0;1;0
"256";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;45;380,694999999832;"A";1;1;NA;"L";"red";"black";"magnit";1;0;0;1;0;0
"260";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;46;595,809999998892;"A";1;0;NA;"A";"blue";"black";"parity";9;0;1;1;1;1
"264";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;47;440,269999999146;"A";1;0;NA;"A";"blue";"black";"magnit";6;0;1;0;0;0
"268";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;48;1302,52499999915;"A";1;0;NA;"A";"blue";"black";"parity";7;0;1;0;0;0
"272";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;49;513,014999996813;"L";1;0;NA;"L";"red";"black";"magnit";3;0;1;1;1;0
"276";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;50;649,364999997488;"L";1;0;NA;"L";"blue";"black";"parity";6;0;1;0;1;0
"280";"5c02a0089649f9000153798b";"BRAC1_vertAA_1st0";0;51;644,189999999071;"L";1;0;NA;"L";"blue";"black";"magnit";1;0;1;0;0;0
