"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"cuecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"OY2";"BRAC1_horiAA_1st0";0;0;788,029999999941;"L";1;0;NA;"L";"red";"black";"magnit";3;0;"Windows";"Chrome";"1280x610";99;99;99;99;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;1;544,689999999944;"L";1;0;NA;"L";"blue";"black";"magnit";1;0;"Windows";"Chrome";"1280x610";0;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;2;925,204999999987;"L";1;0;NA;"L";"blue";"black";"parity";8;0;"Windows";"Chrome";"1280x610";1;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;3;604,444999999949;"A";1;0;NA;"A";"red";"black";"parity";1;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;4;575,330000000104;"L";1;0;NA;"L";"blue";"black";"parity";8;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;5;524,175000000017;"L";1;0;NA;"L";"blue";"black";"parity";2;0;"Windows";"Chrome";"1280x610";0;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;6;705,590000000026;"A";1;0;NA;"A";"blue";"black";"magnit";9;0;"Windows";"Chrome";"1280x610";1;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;7;653,684999999998;"A";1;0;NA;"A";"red";"black";"magnit";8;0;"Windows";"Chrome";"1280x610";0;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;8;838,130000000121;"L";1;0;NA;"L";"red";"black";"magnit";4;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;9;539,459999999963;"A";1;0;NA;"A";"red";"black";"magnit";8;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;10;456,115000000165;"L";1;0;NA;"L";"blue";"black";"magnit";2;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;11;843,395000000106;"A";1;0;NA;"A";"blue";"black";"parity";9;0;"Windows";"Chrome";"1280x610";1;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;12;474,970000000001;"L";1;0;NA;"L";"blue";"black";"magnit";2;0;"Windows";"Chrome";"1280x610";1;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;13;872,509999999922;"A";1;0;NA;"A";"red";"black";"magnit";9;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;14;795,075000000012;"L";1;1;NA;"A";"red";"black";"parity";3;0;"Windows";"Chrome";"1280x610";1;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;15;687,89000000013;"A";1;0;NA;"A";"red";"black";"magnit";8;0;"Windows";"Chrome";"1280x610";1;0;0;1;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;16;732,854999999981;"L";1;0;NA;"L";"blue";"black";"parity";2;0;"Windows";"Chrome";"1280x610";1;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;17;1125,78000000009;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;"Windows";"Chrome";"1280x610";1;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;18;511,310000000085;"L";1;0;NA;"L";"red";"black";"magnit";2;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;19;583,069999999891;"L";1;0;NA;"L";"blue";"black";"magnit";4;0;"Windows";"Chrome";"1280x610";0;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;20;775,415000000066;"A";1;0;NA;"A";"blue";"black";"magnit";6;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;21;682,16499999995;"A";1;0;NA;"A";"blue";"black";"parity";3;0;"Windows";"Chrome";"1280x610";1;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;22;504,320000000007;"A";1;0;NA;"A";"red";"black";"parity";7;0;"Windows";"Chrome";"1280x610";0;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;23;539,694999999949;"A";1;0;NA;"A";"red";"black";"parity";9;0;"Windows";"Chrome";"1280x610";0;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;24;644,964999999967;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;"Windows";"Chrome";"1280x610";1;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;25;453,089999999967;"L";1;0;NA;"L";"red";"black";"parity";4;0;"Windows";"Chrome";"1280x610";1;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;26;483,559999999881;"A";1;0;NA;"A";"red";"black";"parity";7;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;27;545,924999999872;"L";1;0;NA;"L";"red";"black";"parity";6;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;28;912,845000000059;"A";1;0;NA;"A";"red";"black";"parity";1;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;29;565,045000000042;"A";1;0;NA;"A";"blue";"black";"parity";9;0;"Windows";"Chrome";"1280x610";0;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;30;452,950000000099;"L";1;0;NA;"L";"red";"black";"parity";2;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;31;616,520000000048;"A";1;0;NA;"A";"blue";"black";"parity";1;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;32;562,554999999964;"A";1;0;NA;"A";"red";"black";"magnit";7;0;"Windows";"Chrome";"1280x610";1;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;33;466,574999999924;"L";1;0;NA;"L";"blue";"black";"magnit";4;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;34;474,124999999971;"L";1;0;NA;"L";"blue";"black";"magnit";1;0;"Windows";"Chrome";"1280x610";0;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;35;578,184999999852;"L";1;0;NA;"L";"blue";"black";"parity";4;0;"Windows";"Chrome";"1280x610";1;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;36;428,574999999895;"L";1;0;NA;"L";"blue";"black";"magnit";3;0;"Windows";"Chrome";"1280x610";1;0;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;37;1788,16499999992;"L";1;0;NA;"L";"red";"black";"parity";8;0;"Windows";"Chrome";"1280x610";1;0;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;38;632,235000000044;"A";1;0;NA;"A";"red";"black";"parity";1;0;"Windows";"Chrome";"1280x610";0;1;0;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
"OY2";"BRAC1_horiAA_1st0";0;39;983,549999999901;"L";1;0;NA;"L";"blue";"black";"parity";6;0;"Windows";"Chrome";"1280x610";0;1;1;0;"28";"female";"I've a degree related to one of these fields.";"Master degree";"right-handed";"German";"Germany"
