"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"76";"NW8";"BRAC1_vertAA_1st300";0;0;1713,51500006858;"L";1;0;NA;"L";"red";"black";"magnit";1;300;99;99;99;99
"80";"NW8";"BRAC1_vertAA_1st300";0;1;1511,79000001866;"A";1;0;NA;"A";"red";"black";"magnit";7;300;0;1;0;0
"84";"NW8";"BRAC1_vertAA_1st300";0;2;1195,8099999465;"L";1;0;NA;"L";"red";"black";"magnit";1;300;0;1;0;0
"88";"NW8";"BRAC1_vertAA_1st300";0;3;1654,60999996867;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;0;1;1;0
"92";"NW8";"BRAC1_vertAA_1st300";0;4;1333,44499999657;"L";1;0;NA;"L";"red";"black";"parity";8;300;1;1;1;0
"96";"NW8";"BRAC1_vertAA_1st300";0;5;1398,21000001393;"L";1;0;NA;"L";"blue";"black";"magnit";2;300;1;0;1;0
"100";"NW8";"BRAC1_vertAA_1st300";0;6;1276,40500001144;"A";1;0;NA;"A";"red";"black";"parity";7;300;1;1;1;0
"104";"NW8";"BRAC1_vertAA_1st300";0;7;1125,57999999262;"A";1;0;NA;"A";"red";"black";"parity";9;300;0;0;0;0
"108";"NW8";"BRAC1_vertAA_1st300";0;8;1892,42499996908;"A";1;1;NA;"L";"blue";"black";"magnit";4;300;1;1;1;0
"112";"NW8";"BRAC1_vertAA_1st300";0;9;1495,86000002455;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;0;1;0;1
"116";"NW8";"BRAC1_vertAA_1st300";0;10;1522,3850000184;"L";1;0;NA;"L";"blue";"black";"parity";4;300;1;1;0;0
"120";"NW8";"BRAC1_vertAA_1st300";0;11;1667,15500003193;"A";1;0;NA;"A";"blue";"black";"parity";1;300;0;1;0;0
"124";"NW8";"BRAC1_vertAA_1st300";0;12;1096,22000006493;"A";1;0;NA;"A";"blue";"black";"magnit";8;300;1;0;0;0
"128";"NW8";"BRAC1_vertAA_1st300";0;13;2041,45500005689;"A";1;0;NA;"A";"red";"black";"parity";9;300;1;0;1;0
"132";"NW8";"BRAC1_vertAA_1st300";0;14;1130,42499998119;"A";1;0;NA;"A";"blue";"black";"parity";3;300;0;0;1;0
"136";"NW8";"BRAC1_vertAA_1st300";0;15;953,59000004828;"L";1;0;NA;"L";"blue";"black";"magnit";1;300;1;1;0;0
"140";"NW8";"BRAC1_vertAA_1st300";0;16;1565,21000002977;"A";1;0;NA;"A";"red";"black";"magnit";9;300;0;1;1;0
"144";"NW8";"BRAC1_vertAA_1st300";0;17;1268,92499998212;"L";1;0;NA;"L";"blue";"black";"parity";2;300;1;1;1;0
"148";"NW8";"BRAC1_vertAA_1st300";0;18;1938,44499997795;"A";1;0;NA;"A";"blue";"black";"parity";1;300;0;1;0;0
"152";"NW8";"BRAC1_vertAA_1st300";0;19;960,259999963455;"A";1;0;NA;"A";"blue";"black";"magnit";8;300;1;0;0;0
"156";"NW8";"BRAC1_vertAA_1st300";0;20;1822,89499999024;"A";1;0;NA;"A";"blue";"black";"parity";1;300;1;0;0;0
"160";"NW8";"BRAC1_vertAA_1st300";0;21;969,475000048988;"L";1;0;NA;"L";"blue";"black";"magnit";3;300;1;1;0;0
"164";"NW8";"BRAC1_vertAA_1st300";0;22;1678,27499995474;"L";1;0;NA;"L";"blue";"black";"parity";6;300;1;0;0;0
"168";"NW8";"BRAC1_vertAA_1st300";0;23;2084,37499997672;"A";1;0;NA;"A";"red";"black";"magnit";9;300;1;1;1;0
"172";"NW8";"BRAC1_vertAA_1st300";0;24;892,88000005763;"L";1;1;NA;"A";"red";"black";"parity";1;300;1;0;0;0
"176";"NW8";"BRAC1_vertAA_1st300";0;25;1121,84000003617;"L";1;0;NA;"L";"red";"black";"parity";4;300;0;1;0;1
