"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R"
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;0;2499,261;NA;NA;1;1;"L";"black";"red";"magnit";1;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";99;99;99;99
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;1;1480,00999999931;"A";1;0;NA;"A";"black";"blue";"parity";6;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;1;1;1
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;2;1148,55499999248;"L";1;0;NA;"L";"black";"red";"magnit";3;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;1;1;0
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;3;2497,73700000001;NA;NA;1;1;"A";"black";"red";"parity";8;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;1;0;0
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;4;990,724999996019;"L";1;0;NA;"L";"black";"blue";"parity";1;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";0;1;1;1
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;5;1743,2550000085;"A";1;0;NA;"A";"black";"red";"parity";6;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";0;1;1;0
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;6;1918,15499999211;"A";1;1;NA;"L";"black";"blue";"parity";7;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";0;1;1;0
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;7;2030,04499999224;"A";1;1;NA;"L";"black";"red";"magnit";1;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;0;1;1
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;8;834,784999999101;"A";1;0;NA;"A";"black";"red";"magnit";8;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";0;1;0;1
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;9;2194,00499999756;"A";1;1;NA;"L";"black";"blue";"parity";7;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;1;1;0
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;10;2490,22000000696;"L";1;0;NA;"L";"black";"red";"parity";3;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";0;0;1;1
"5d47d84a4555540001a4ae83";"BRAC2_vertAL_1st300";0;11;1630,53500000387;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;"Windows 10";"Chrome 83.0.4103.116";"770x738";1;1;1;0
