"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R"
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;0;1047,24999982864;"L";1;1;NA;"A";"black";"blue";"magnit";7;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";99;99;99;99
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;1;1250,71500008926;"L";1;0;NA;"L";"black";"red";"magnit";1;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;1;1
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;2;1008,48000007682;"A";1;0;NA;"A";"black";"red";"parity";3;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;3;641,689999960363;"L";1;0;NA;"L";"black";"blue";"parity";6;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;4;577,169999945909;"A";1;0;NA;"A";"black";"red";"parity";3;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;5;646,414999850094;"L";1;0;NA;"L";"black";"red";"parity";4;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;6;601,500000106171;"A";1;0;NA;"A";"black";"blue";"parity";3;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;7;778,025000123307;"A";1;1;NA;"L";"black";"red";"magnit";1;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;8;773,065000073984;"L";1;0;NA;"L";"black";"blue";"parity";8;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;0;1;1
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;9;860,795000102371;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;10;1250,7499998901;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;0;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;11;2146,26999991015;"A";1;0;NA;"A";"black";"blue";"parity";7;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;0;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;12;951,020000036806;"L";1;0;NA;"L";"black";"red";"magnit";4;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;13;1559,92999998853;"A";1;0;NA;"A";"black";"blue";"parity";1;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;14;1565,18499995582;"L";1;1;NA;"A";"black";"red";"parity";9;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;0;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;15;659,080000128597;"L";1;0;NA;"L";"black";"red";"parity";6;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;0;1
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;16;894,175000023097;"A";1;0;NA;"A";"black";"red";"parity";7;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;17;497,37500003539;"L";1;0;NA;"L";"black";"blue";"parity";6;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";0;1;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;18;911,694999784231;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;0;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;19;1062,58500018157;"A";1;0;NA;"A";"black";"red";"parity";3;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;0;1;0
"5eba67eb17a5461ab1182c5a";"BRAC2_horiAA_1st300";0;20;1377,98000010662;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;"Windows 10";"Chrome 83.0.4103.116";"1366x657";1;1;1;0
