"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"framecolor_R";"error_R"
"76";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;0;1768,24999999371;"A";1;1;NA;"L";"black";"red";"parity";1;0;99;99;99;99
"80";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;1;765,330000023823;"L";1;0;NA;"L";"black";"blue";"magnit";8;0;1;0;1;1
"84";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;2;1151,3949999935;"A";1;0;NA;"A";"black";"red";"magnit";3;0;0;1;1;0
"88";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;3;169,079999992391;"L";1;0;NA;"L";"black";"blue";"magnit";6;0;0;1;1;0
"92";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;4;520,770000002813;"A";1;0;NA;"A";"black";"red";"magnit";1;0;0;1;1;0
"96";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;5;290,29500001343;"L";1;0;NA;"L";"black";"red";"parity";7;0;1;1;0;0
"100";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;6;529,464999999618;"A";1;0;NA;"A";"black";"blue";"magnit";4;0;1;1;1;0
"104";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;7;676,365000021178;"A";1;0;NA;"A";"black";"red";"magnit";1;0;0;0;1;0
"108";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;8;484,230000001844;"A";1;0;NA;"A";"black";"red";"parity";4;0;1;0;0;0
"112";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;9;432,06999998074;"L";1;0;NA;"L";"black";"red";"magnit";6;0;1;1;0;0
"116";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;10;881,705000007059;"A";1;0;NA;"A";"black";"blue";"magnit";1;0;0;1;1;0
"120";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;11;556,264999991981;"L";1;0;NA;"L";"black";"blue";"magnit";7;0;0;1;0;0
"124";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;12;397,67999999458;"A";1;0;NA;"A";"black";"blue";"parity";8;0;1;1;0;0
"128";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;13;771,314999990864;"L";1;0;NA;"L";"black";"red";"magnit";6;0;1;1;1;0
"132";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;14;737,649999995483;"A";1;0;NA;"A";"black";"red";"parity";8;0;1;1;0;0
"136";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;15;804,284999991069;"A";1;0;NA;"A";"black";"blue";"magnit";4;0;1;0;1;0
"140";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;16;477,125000004889;"L";1;1;NA;"A";"black";"blue";"parity";6;0;1;0;0;0
"144";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;17;883,104999986244;"L";1;1;NA;"A";"black";"red";"parity";4;0;0;0;1;1
"148";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;18;565,180000005057;"L";1;1;NA;"A";"black";"red";"parity";8;0;0;0;0;1
"152";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;19;620,855000015581;"A";1;0;NA;"A";"black";"blue";"parity";4;0;0;0;1;1
"156";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;20;475,050000008196;"A";1;1;NA;"L";"black";"blue";"parity";3;0;0;1;0;0
"160";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;21;348,754999984521;"L";1;1;NA;"A";"black";"red";"parity";2;0;0;1;1;1
"164";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;22;538,510000013048;"A";1;1;NA;"L";"black";"blue";"parity";7;0;0;1;1;1
"168";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;23;411,619999998948;"A";1;1;NA;"L";"black";"red";"parity";3;0;0;0;1;1
"172";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;24;455,314999999246;"A";1;0;NA;"A";"black";"blue";"magnit";2;0;1;1;1;1
"176";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;25;432,86500000977;"L";1;1;NA;"A";"black";"blue";"parity";8;0;1;0;0;0
"180";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;26;538,695000024745;"A";1;0;NA;"A";"black";"blue";"parity";2;0;0;0;0;1
"184";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;27;490,049999993062;"L";1;0;NA;"L";"black";"red";"magnit";7;0;1;1;1;0
"188";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;28;524,479999992764;"A";1;0;NA;"A";"black";"blue";"magnit";2;0;0;1;1;0
"192";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;29;493,965000001481;"L";1;0;NA;"L";"black";"red";"magnit";7;0;0;1;1;0
"196";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;30;469,645000004675;"A";1;0;NA;"A";"black";"red";"magnit";2;0;0;1;0;0
"200";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;31;322,924999985844;"L";1;0;NA;"L";"black";"red";"parity";7;0;1;1;0;0
"204";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;32;437,914999987697;"A";1;0;NA;"A";"black";"blue";"parity";2;0;0;1;1;0
"208";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;33;374,544999998761;"L";1;1;NA;"A";"black";"blue";"magnit";3;0;1;0;0;0
"212";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;34;977,480000001378;"A";1;1;NA;"L";"black";"red";"magnit";8;0;0;1;1;1
"216";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;35;495,135000004666;"L";1;0;NA;"L";"black";"blue";"parity";9;0;1;0;1;1
"220";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;36;388,40500000515;"A";1;1;NA;"L";"black";"blue";"parity";3;0;0;0;0;0
"224";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;37;491,269999998622;"L";1;1;NA;"A";"black";"blue";"parity";6;0;0;1;0;1
"228";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;38;593,785000004573;"A";1;0;NA;"A";"black";"blue";"magnit";1;0;1;0;0;1
"232";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;39;1041,4049999963;"A";1;1;NA;"L";"black";"red";"parity";7;0;1;1;1;0
"236";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;40;1715,80500001437;"A";1;0;NA;"A";"black";"red";"magnit";4;0;1;1;0;1
"240";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;41;1196,6249999823;"A";1;0;NA;"A";"black";"blue";"parity";2;0;1;0;1;0
"244";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;42;542,474999994738;"A";1;1;NA;"L";"black";"red";"parity";1;0;0;1;1;0
"248";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;43;802,635000000009;"L";1;0;NA;"L";"black";"red";"magnit";6;0;1;0;0;1
"252";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;44;480,999999999767;"A";1;0;NA;"A";"black";"blue";"parity";4;0;1;1;1;0
"256";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;45;427,460000006249;"A";1;1;NA;"L";"black";"blue";"parity";1;0;0;1;0;0
"260";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;46;902,035000006435;"L";1;1;NA;"A";"black";"red";"magnit";4;0;1;1;1;1
"264";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;47;1419,71000001649;"A";1;1;NA;"L";"black";"blue";"magnit";8;0;0;1;1;1
"268";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;48;812,024999991991;"A";1;1;NA;"L";"black";"blue";"magnit";6;0;0;0;0;1
"272";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;49;378,884999983711;"A";1;0;NA;"A";"black";"red";"magnit";4;0;0;1;1;1
"276";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;50;548,74500000733;"A";1;1;NA;"L";"black";"blue";"parity";1;0;1;1;1;0
"280";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;51;531,365000002552;"A";1;1;NA;"L";"black";"red";"parity";9;0;0;0;1;1
"284";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;52;743,784999998752;"L";1;0;NA;"L";"black";"blue";"parity";1;0;0;0;1;1
"288";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;53;1119,47499998496;"L";1;1;NA;"A";"black";"blue";"parity";6;0;0;1;0;0
"292";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;54;602,410000021337;"A";1;1;NA;"L";"black";"red";"magnit";9;0;1;1;1;1
"296";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;55;675,099999993108;"A";1;0;NA;"A";"black";"blue";"magnit";4;0;0;1;1;1
"300";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;56;545,484999980545;"L";1;0;NA;"L";"black";"blue";"magnit";9;0;0;1;0;0
"304";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;57;768,605000019306;"A";1;0;NA;"A";"black";"red";"parity";6;0;1;1;1;0
"308";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;58;645,170000003418;"A";1;0;NA;"A";"black";"blue";"magnit";3;0;1;0;1;0
"312";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;59;1452,43499998469;"A";1;1;NA;"L";"black";"blue";"parity";9;0;1;1;0;0
"316";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;60;676,689999992959;"L";1;0;NA;"L";"black";"blue";"magnit";7;0;1;0;0;1
"320";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;61;2433,35000000661;"L";1;0;NA;"L";"black";"red";"magnit";8;0;0;0;1;0
"324";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;62;1044,53499999363;"A";1;1;NA;"L";"black";"red";"parity";9;0;1;0;0;0
"328";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;63;623,480000009295;"A";1;0;NA;"A";"black";"red";"magnit";2;0;1;1;0;1
"332";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;64;839,260000007926;"L";1;0;NA;"L";"black";"blue";"parity";7;0;1;1;1;0
"336";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;65;697,899999999208;"L";1;1;NA;"A";"black";"blue";"parity";4;0;0;1;0;0
"340";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;66;522,25000000908;"A";1;0;NA;"A";"black";"red";"magnit";1;0;1;0;1;1
"344";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;67;1081,47499998449;"A";1;0;NA;"A";"black";"red";"parity";6;0;1;0;0;0
"348";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;68;585,359999997308;"L";1;0;NA;"L";"black";"blue";"magnit";9;0;1;1;1;0
"352";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;69;1775,90999999666;"L";1;1;NA;"A";"black";"red";"parity";4;0;1;1;1;0
"356";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;70;447,415000002366;"L";1;0;NA;"L";"black";"red";"parity";3;0;0;1;0;1
"360";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;71;962,975000002189;"A";1;1;NA;"L";"black";"red";"parity";9;0;0;0;0;0
"364";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;72;1329,67999999528;"L";1;0;NA;"L";"black";"blue";"magnit";6;0;1;0;1;1
"368";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;73;654,104999994161;"A";1;0;NA;"A";"black";"red";"parity";8;0;1;1;1;0
"372";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;74;1721,03999997489;"L";1;0;NA;"L";"black";"red";"parity";3;0;0;1;0;0
"376";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;75;806,710000004387;"L";1;0;NA;"L";"black";"blue";"magnit";7;0;1;0;1;0
"380";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;76;1587,27499999804;"L";1;0;NA;"L";"black";"red";"magnit";9;0;0;0;1;0
"384";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;77;521,994999988237;"A";1;0;NA;"A";"black";"blue";"magnit";2;0;0;1;1;0
"388";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;78;1057,69999997574;"L";1;1;NA;"A";"black";"red";"parity";6;0;1;0;1;0
"392";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;79;670,530000003055;"L";1;0;NA;"L";"black";"blue";"magnit";8;0;1;1;1;1
"396";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;80;823,269999993499;"L";1;1;NA;"A";"black";"red";"parity";2;0;1;1;1;0
"400";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;81;1474,77500000969;"L";1;0;NA;"L";"black";"blue";"magnit";9;0;1;1;1;1
"404";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;82;1197,34499999322;"L";1;0;NA;"L";"black";"blue";"parity";7;0;1;0;0;0
"408";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;83;904,30500000366;"A";1;0;NA;"A";"black";"blue";"magnit";3;0;1;1;0;0
"412";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;84;493,895000021439;"A";1;0;NA;"A";"black";"blue";"magnit";1;0;0;0;0;0
"416";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;85;486,284999991767;"L";1;0;NA;"L";"black";"red";"magnit";9;0;0;1;1;0
"420";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;86;941,544999979669;"A";1;0;NA;"A";"black";"red";"magnit";3;0;0;1;0;0
"424";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;87;552,954999991925;"L";1;0;NA;"L";"black";"red";"magnit";8;0;0;1;0;0
"428";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;88;738,604999991367;"L";1;0;NA;"L";"black";"red";"magnit";7;0;0;0;0;0
"432";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;89;792,994999996154;"A";1;1;NA;"L";"black";"blue";"parity";3;0;1;0;1;0
"436";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;90;601,764999999432;"L";1;1;NA;"A";"black";"red";"parity";2;0;0;1;1;1
"440";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;91;788,845000002766;"L";1;0;NA;"L";"black";"blue";"parity";9;0;0;1;1;1
"444";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;92;618,975000019418;"L";1;0;NA;"L";"black";"red";"parity";1;0;0;0;1;0
"448";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;93;757,935000001453;"A";1;0;NA;"A";"black";"blue";"parity";8;0;0;1;1;0
"452";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;94;759,094999986701;"A";1;0;NA;"A";"black";"red";"magnit";2;0;1;0;1;0
"456";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";0;95;805,54500001017;"A";1;0;NA;"A";"black";"red";"magnit";3;0;0;0;0;0
"461";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;0;1151,58499998506;"L";1;0;NA;"L";"black";"blue";"magnit";7;300;99;99;99;99
"465";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;1;499,569999985397;"L";1;0;NA;"L";"black";"blue";"magnit";8;300;0;0;0;0
"469";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;2;631,529999984195;"L";1;0;NA;"L";"black";"red";"parity";1;300;1;0;1;0
"473";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;3;1238,52499999339;"L";1;0;NA;"L";"black";"blue";"magnit";6;300;1;0;1;0
"477";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;4;748,619999998482;"A";1;0;NA;"A";"black";"red";"magnit";1;300;0;1;1;0
"481";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;5;2498,42499999999;NA;NA;1;1;"L";"black";"blue";"magnit";7;300;0;1;1;0
"485";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;6;2498,79099999997;NA;NA;1;1;"A";"black";"blue";"parity";2;300;1;1;0;1
"489";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;7;1106,81999998633;"A";1;1;NA;"L";"black";"blue";"parity";7;300;0;1;0;1
"493";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;8;2498,58900000004;NA;NA;1;1;"L";"black";"red";"parity";1;300;0;0;1;1
"497";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;9;1038,77499999362;"A";1;0;NA;"A";"black";"red";"parity";6;300;0;1;0;1
"501";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;10;1147,6149999944;"L";1;0;NA;"L";"black";"blue";"parity";7;300;0;1;1;0
"505";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;11;888,180000009015;"A";1;0;NA;"A";"black";"blue";"magnit";3;300;1;1;0;0
"509";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;12;407,210000004852;"L";1;0;NA;"L";"black";"blue";"magnit";6;300;0;1;0;0
"513";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;13;661,045000015292;"A";1;0;NA;"A";"black";"blue";"parity";8;300;1;1;0;0
"517";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;14;842,7049999882;"L";1;0;NA;"L";"black";"red";"magnit";6;300;1;1;1;0
"521";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;15;761,824999994133;"A";1;0;NA;"A";"black";"blue";"parity";8;300;1;1;1;0
"525";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;16;1029,7600000049;"L";1;0;NA;"L";"black";"red";"magnit";7;300;1;1;1;0
"529";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;17;522,445000009611;"L";1;0;NA;"L";"black";"red";"parity";1;300;1;0;0;0
"533";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;18;1249,83999997494;"A";1;0;NA;"A";"black";"red";"magnit";3;300;1;1;0;0
"537";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;19;1291,12499998882;"L";1;0;NA;"L";"black";"red";"parity";9;300;1;1;0;0
"541";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;20;1014,69500001986;"A";1;0;NA;"A";"black";"red";"magnit";2;300;1;1;0;0
"545";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;21;1119,40500000492;"L";1;0;NA;"L";"black";"red";"magnit";9;300;0;1;0;0
"549";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;22;712,835000013001;"A";1;0;NA;"A";"black";"blue";"magnit";4;300;0;1;1;0
"553";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;23;474,765000020852;"A";1;0;NA;"A";"black";"red";"magnit";3;300;0;0;1;0
"557";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;24;627,810000005411;"L";1;1;NA;"A";"black";"blue";"parity";6;300;1;0;1;0
"561";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;25;946,110000018962;"L";1;0;NA;"L";"black";"blue";"magnit";9;300;1;1;0;1
"565";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;26;1424,61499999627;"A";1;0;NA;"A";"black";"blue";"magnit";4;300;0;1;0;0
"569";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;27;467,434999998659;"L";1;0;NA;"L";"black";"red";"magnit";9;300;0;1;1;0
"573";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;28;1025,28499998152;"A";1;0;NA;"A";"black";"red";"parity";6;300;1;1;0;0
"577";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;29;659,104999998817;"L";1;0;NA;"L";"black";"red";"magnit";7;300;1;1;0;0
"581";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;30;479,424999997718;"L";1;0;NA;"L";"black";"blue";"parity";3;300;1;0;1;0
"585";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;31;848,460000008345;"L";1;0;NA;"L";"black";"blue";"magnit";7;300;1;0;0;0
"589";"5d1cfc4ee950480015366f7b";"BRAC2_horiLL_1st0";1;32;619,324999977835;"A";1;0;NA;"A";"black";"red";"magnit";3;300;0;1;1;0
