"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"PJ6";"BRAC2_vertAA_1st300";0;0;1062,90499999886;"L";1;0;NA;"L";"black";"red";"parity";6;300;"MacOs";"Chrome";"1440x697";99;99;99;99;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;1;561,079999999492;"L";1;0;NA;"L";"black";"blue";"parity";2;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;2;586,579999995534;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;3;671,519999996293;"A";1;0;NA;"A";"black";"blue";"parity";3;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;4;646,424999998999;"L";1;0;NA;"L";"black";"blue";"parity";6;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;5;596,4949999979;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;"MacOs";"Chrome";"1440x697";1;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;6;654,894999999786;"A";1;0;NA;"A";"black";"red";"parity";1;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;7;628,25499999593;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;8;565,589999998221;"A";1;0;NA;"A";"black";"red";"magnit";6;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;9;470,645000001299;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;10;750,469999999041;"L";1;1;NA;"A";"black";"red";"parity";3;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;11;635,715000004042;"A";1;0;NA;"A";"black";"red";"magnit";9;300;"MacOs";"Chrome";"1440x697";1;0;0;1;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;12;554,810000001453;"L";1;0;NA;"L";"black";"blue";"parity";4;300;"MacOs";"Chrome";"1440x697";1;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
