"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"framecolor_R";"error_R"
"76";"MH1";"BRAC2_horiAL_1st300";0;0;1603;"L";1;0;NA;"L";"black";"red";"parity";3;300;99;99;99;99
"80";"MH1";"BRAC2_horiAL_1st300";0;1;740;"L";1;0;NA;"L";"black";"blue";"parity";7;300;0;0;1;0
"84";"MH1";"BRAC2_horiAL_1st300";0;2;867,000000000029;"L";1;0;NA;"L";"black";"red";"magnit";1;300;1;0;1;0
"88";"MH1";"BRAC2_horiAL_1st300";0;3;1367;"L";1;0;NA;"L";"black";"blue";"parity";9;300;1;0;1;0
"92";"MH1";"BRAC2_horiAL_1st300";0;4;762;"L";1;0;NA;"L";"black";"blue";"parity";3;300;0;0;0;0
"96";"MH1";"BRAC2_horiAL_1st300";0;5;1494;"L";1;0;NA;"L";"black";"blue";"magnit";1;300;1;0;0;0
"100";"MH1";"BRAC2_horiAL_1st300";0;6;998;"L";1;0;NA;"L";"black";"red";"parity";9;300;1;0;1;0
"104";"MH1";"BRAC2_horiAL_1st300";0;7;1831;"A";1;0;NA;"A";"black";"blue";"parity";4;300;0;1;1;0
"108";"MH1";"BRAC2_horiAL_1st300";0;8;879,999999999971;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;1;1;0;0
"112";"MH1";"BRAC2_horiAL_1st300";0;9;526;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;0;1;0;0
"116";"MH1";"BRAC2_horiAL_1st300";0;10;781;"L";1;0;NA;"L";"black";"red";"parity";1;300;1;1;1;0
"120";"MH1";"BRAC2_horiAL_1st300";0;11;745;"L";1;0;NA;"L";"black";"blue";"parity";7;300;0;0;1;0
"124";"MH1";"BRAC2_horiAL_1st300";0;12;1075,00000000003;"A";1;0;NA;"A";"black";"red";"magnit";6;300;1;1;1;0
"128";"MH1";"BRAC2_horiAL_1st300";0;13;863,999999999971;"L";1;0;NA;"L";"black";"red";"magnit";1;300;0;1;0;0
"132";"MH1";"BRAC2_horiAL_1st300";0;14;1376;"A";1;1;NA;"L";"black";"red";"parity";9;300;1;0;0;0
"136";"MH1";"BRAC2_horiAL_1st300";0;15;1688;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;1;1;1;1
"140";"MH1";"BRAC2_horiAL_1st300";0;16;1538;"A";1;0;NA;"A";"black";"red";"parity";8;300;1;0;1;0
"144";"MH1";"BRAC2_horiAL_1st300";0;17;839;"A";1;0;NA;"A";"black";"blue";"parity";2;300;0;0;1;0
"148";"MH1";"BRAC2_horiAL_1st300";0;18;1058,00000000003;"A";1;0;NA;"A";"black";"red";"magnit";9;300;1;0;1;0
"152";"MH1";"BRAC2_horiAL_1st300";0;19;713,000000000029;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;0;1;1;0
"156";"MH1";"BRAC2_horiAL_1st300";0;20;966;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;0;1;0;0
"160";"MH1";"BRAC2_horiAL_1st300";0;21;937;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;0;0;0;0
"164";"MH1";"BRAC2_horiAL_1st300";0;22;581,999999999971;"L";1;0;NA;"L";"black";"red";"magnit";4;300;0;1;1;0
"168";"MH1";"BRAC2_horiAL_1st300";0;23;650;"L";1;0;NA;"L";"black";"blue";"parity";1;300;1;0;1;0
"172";"MH1";"BRAC2_horiAL_1st300";0;24;950,999999999942;"A";1;0;NA;"A";"black";"red";"parity";6;300;0;1;1;0
"176";"MH1";"BRAC2_horiAL_1st300";0;25;1164,00000000006;"A";1;0;NA;"A";"black";"blue";"parity";8;300;0;0;1;0
"180";"MH1";"BRAC2_horiAL_1st300";0;26;886;"A";1;0;NA;"A";"black";"blue";"parity";2;300;0;0;0;0
"184";"MH1";"BRAC2_horiAL_1st300";0;27;629;"A";1;0;NA;"A";"black";"red";"magnit";6;300;1;0;1;0
"188";"MH1";"BRAC2_horiAL_1st300";0;28;854;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;0;0;1;0
"192";"MH1";"BRAC2_horiAL_1st300";0;29;1572;"L";1;0;NA;"L";"black";"red";"parity";9;300;1;1;1;0
"196";"MH1";"BRAC2_horiAL_1st300";0;30;1451;"A";1;0;NA;"A";"black";"red";"magnit";8;300;1;1;0;0
"200";"MH1";"BRAC2_horiAL_1st300";0;31;822;"L";1;0;NA;"L";"black";"red";"parity";7;300;1;1;0;0
"204";"MH1";"BRAC2_horiAL_1st300";0;32;904;"A";1;0;NA;"A";"black";"blue";"parity";8;300;0;1;1;0
"208";"MH1";"BRAC2_horiAL_1st300";0;33;1555;"L";1;1;NA;"A";"black";"red";"parity";4;300;0;0;1;0
"212";"MH1";"BRAC2_horiAL_1st300";0;34;1442;"A";1;0;NA;"A";"black";"red";"parity";6;300;0;0;0;1
"216";"MH1";"BRAC2_horiAL_1st300";0;35;807;"A";1;0;NA;"A";"black";"red";"magnit";8;300;1;0;0;0
"220";"MH1";"BRAC2_horiAL_1st300";0;36;1055;"A";1;1;NA;"L";"black";"blue";"parity";9;300;1;1;1;0
"224";"MH1";"BRAC2_horiAL_1st300";0;37;1305;"L";1;0;NA;"L";"black";"blue";"parity";7;300;0;0;0;1
"228";"MH1";"BRAC2_horiAL_1st300";0;38;772;"A";1;0;NA;"A";"black";"red";"magnit";9;300;1;1;1;0
"232";"MH1";"BRAC2_horiAL_1st300";0;39;999;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;0;1;1;0
"236";"MH1";"BRAC2_horiAL_1st300";0;40;785;"L";1;1;NA;"A";"black";"blue";"parity";2;300;1;1;0;0
"240";"MH1";"BRAC2_horiAL_1st300";0;41;1720;"A";1;0;NA;"A";"black";"red";"parity";4;300;0;0;1;1
"244";"MH1";"BRAC2_horiAL_1st300";0;42;818;"L";1;0;NA;"L";"black";"red";"parity";1;300;0;1;0;0
"248";"MH1";"BRAC2_horiAL_1st300";0;43;512;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;1;1;1;0
"252";"MH1";"BRAC2_horiAL_1st300";0;44;1004;"L";1;0;NA;"L";"black";"blue";"parity";3;300;1;1;0;0
"256";"MH1";"BRAC2_horiAL_1st300";0;45;743;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;1;1;0;0
"260";"MH1";"BRAC2_horiAL_1st300";0;46;633;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;0;0;0;0
"264";"MH1";"BRAC2_horiAL_1st300";0;47;1032;"A";1;0;NA;"A";"black";"red";"parity";2;300;1;0;1;0
"268";"MH1";"BRAC2_horiAL_1st300";0;48;455;"A";1;0;NA;"A";"black";"red";"magnit";7;300;1;0;0;0
"272";"MH1";"BRAC2_horiAL_1st300";0;49;744;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;0;1;1;0
"276";"MH1";"BRAC2_horiAL_1st300";0;50;463;"A";1;0;NA;"A";"black";"red";"magnit";8;300;0;1;1;0
"280";"MH1";"BRAC2_horiAL_1st300";0;51;637;"A";1;1;NA;"L";"black";"blue";"magnit";1;300;0;1;1;0
"284";"MH1";"BRAC2_horiAL_1st300";0;52;639,999999999942;"A";1;0;NA;"A";"black";"red";"magnit";6;300;0;1;1;1
"288";"MH1";"BRAC2_horiAL_1st300";0;53;477,999999999942;"L";1;0;NA;"L";"black";"blue";"magnit";1;300;0;1;1;0
"292";"MH1";"BRAC2_horiAL_1st300";0;54;519;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;0;1;0;0
"296";"MH1";"BRAC2_horiAL_1st300";0;55;840;"A";1;0;NA;"A";"black";"blue";"parity";8;300;1;0;0;0
"300";"MH1";"BRAC2_horiAL_1st300";0;56;1166;"A";1;1;NA;"L";"black";"red";"parity";7;300;0;1;1;0
"304";"MH1";"BRAC2_horiAL_1st300";0;57;1089;"L";1;0;NA;"L";"black";"red";"magnit";4;300;1;0;0;1
"308";"MH1";"BRAC2_horiAL_1st300";0;58;515;"A";1;0;NA;"A";"black";"blue";"magnit";8;300;0;1;1;0
"312";"MH1";"BRAC2_horiAL_1st300";0;59;594,000000000058;"L";1;0;NA;"L";"black";"red";"magnit";1;300;0;1;1;0
"316";"MH1";"BRAC2_horiAL_1st300";0;60;830;"A";1;0;NA;"A";"black";"blue";"parity";6;300;1;1;1;0
"320";"MH1";"BRAC2_horiAL_1st300";0;61;610;"L";1;0;NA;"L";"black";"red";"magnit";2;300;1;1;1;0
"324";"MH1";"BRAC2_horiAL_1st300";0;62;562,999999999942;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;0;0;1;0
"328";"MH1";"BRAC2_horiAL_1st300";0;63;1107;"A";1;0;NA;"A";"black";"red";"parity";2;300;1;1;1;0
"332";"MH1";"BRAC2_horiAL_1st300";0;64;1032;"A";1;0;NA;"A";"black";"red";"parity";6;300;0;0;0;0
"336";"MH1";"BRAC2_horiAL_1st300";0;65;601;"A";1;0;NA;"A";"black";"red";"parity";8;300;0;0;0;0
"340";"MH1";"BRAC2_horiAL_1st300";0;66;661;"L";1;0;NA;"L";"black";"red";"parity";1;300;0;1;0;0
"344";"MH1";"BRAC2_horiAL_1st300";0;67;456;"L";1;0;NA;"L";"black";"red";"magnit";2;300;1;0;0;0
"348";"MH1";"BRAC2_horiAL_1st300";0;68;666;"A";1;0;NA;"A";"black";"red";"magnit";9;300;0;1;0;0
"352";"MH1";"BRAC2_horiAL_1st300";0;69;1729;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;0;1;1;0
"356";"MH1";"BRAC2_horiAL_1st300";0;70;1221;"L";1;0;NA;"L";"black";"red";"parity";3;300;1;0;1;0
"360";"MH1";"BRAC2_horiAL_1st300";0;71;991,000000000058;"A";1;0;NA;"A";"black";"red";"magnit";7;300;1;1;0;0
"364";"MH1";"BRAC2_horiAL_1st300";0;72;1352;"L";1;0;NA;"L";"black";"blue";"parity";9;300;1;1;1;0
"368";"MH1";"BRAC2_horiAL_1st300";0;73;1124;"A";1;0;NA;"A";"black";"blue";"parity";4;300;0;1;0;0
"372";"MH1";"BRAC2_horiAL_1st300";0;74;922;"L";1;0;NA;"L";"black";"red";"parity";7;300;0;1;1;0
"376";"MH1";"BRAC2_horiAL_1st300";0;75;709;"A";1;0;NA;"A";"black";"blue";"parity";6;300;0;1;1;0
"380";"MH1";"BRAC2_horiAL_1st300";0;76;463,000000000058;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;1;0;0;0
"384";"MH1";"BRAC2_horiAL_1st300";0;77;1211;"L";1;0;NA;"L";"black";"red";"magnit";4;300;0;1;1;0
"388";"MH1";"BRAC2_horiAL_1st300";0;78;1406;"L";1;0;NA;"L";"black";"red";"parity";3;300;1;0;0;0
"392";"MH1";"BRAC2_horiAL_1st300";0;79;879;"L";1;0;NA;"L";"black";"red";"magnit";2;300;1;0;0;0
"396";"MH1";"BRAC2_horiAL_1st300";0;80;668,000000000058;"L";1;0;NA;"L";"black";"red";"magnit";3;300;0;0;0;0
"400";"MH1";"BRAC2_horiAL_1st300";0;81;1112,00000000006;"A";1;0;NA;"A";"black";"red";"parity";2;300;1;1;0;0
"404";"MH1";"BRAC2_horiAL_1st300";0;82;2184;"L";1;0;NA;"L";"black";"blue";"parity";1;300;0;1;1;0
"408";"MH1";"BRAC2_horiAL_1st300";0;83;592;"A";1;0;NA;"A";"black";"red";"parity";4;300;0;1;1;0
"412";"MH1";"BRAC2_horiAL_1st300";0;84;695,999999999942;"A";1;0;NA;"A";"black";"blue";"parity";6;300;0;0;1;0
"416";"MH1";"BRAC2_horiAL_1st300";0;85;530;"L";1;0;NA;"L";"black";"red";"magnit";3;300;1;1;1;0
"420";"MH1";"BRAC2_horiAL_1st300";0;86;607,999999999942;"A";1;0;NA;"A";"black";"blue";"parity";4;300;1;1;1;0
"424";"MH1";"BRAC2_horiAL_1st300";0;87;519;"L";1;0;NA;"L";"black";"red";"magnit";3;300;1;1;1;0
"428";"MH1";"BRAC2_horiAL_1st300";0;88;1403;"A";1;0;NA;"A";"black";"red";"magnit";7;300;0;1;0;0
"432";"MH1";"BRAC2_horiAL_1st300";0;89;439;"L";1;0;NA;"L";"black";"blue";"magnit";4;300;0;1;1;0
"436";"MH1";"BRAC2_horiAL_1st300";0;90;611,000000000058;"A";1;0;NA;"A";"black";"red";"parity";8;300;1;1;1;0
"440";"MH1";"BRAC2_horiAL_1st300";0;91;1278;"L";1;0;NA;"L";"black";"blue";"magnit";2;300;1;1;1;0
"444";"MH1";"BRAC2_horiAL_1st300";0;92;1055,00000000006;"L";1;0;NA;"L";"black";"blue";"parity";3;300;1;0;0;0
"448";"MH1";"BRAC2_horiAL_1st300";0;93;702;"A";1;0;NA;"A";"black";"blue";"magnit";6;300;1;1;0;0
