"";"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.4d69";"checkpoint.7y1f";"checkpoint.fqea";"Question.Key";"Response"
"1";"1";1591084239955;"02/06/2020 07:50:39";1591084238553;2;"02/06/2020 09:50:38";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1600x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"BEGIN QUESTIONNAIRE";""
"2";"2";1591084280784;"02/06/2020 07:51:20";1591084279417;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"sex";"male"
"3";"3";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"sex-quantised";"1"
"4";"4";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"age";"21"
"5";"5";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"response-2";"right-handed"
"6";"6";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"response-2-quantised";"1"
"7";"7";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"response-2-text";""
"8";"8";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"response-3";"Polish"
"9";"9";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"country";"Poland"
"10";"10";1591084280987;"02/06/2020 07:51:20";1591084279420;2;"02/06/2020 09:51:19";18755;2;"questionnaire-89vf";NA;5268284;"5a9bb11435237b0001129a35";1483735;NA;"complete";NA;"5ed5fde7cee909000a0ef06e";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1600x900";"1586x805";"after demographic";"demographic";4;"BRAC1_horiLL_1st300";"after consent";"after demographic";"Task done";"education";"Some university/higher education but no degree"
