Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
1;1590004939991;20/05/2020 20:02:19;1590004939877;2;20/05/2020 22:02:19;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590004986084;20/05/2020 20:03:06;1590004986063;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;sex;male
3;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;sex-quantised;1
4;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;age;25
5;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;response-2;right-handed
6;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;response-2-quantised;1
7;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;response-2-text;
8;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;response-3;chinese
9;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;country;germany
10;1590004986178;20/05/2020 20:03:06;1590004986067;2;20/05/2020 22:03:06;17308;16;questionnaire-89vf;;5053909;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;demographic;4;BRAC1_vertLA_1st0;after consent;after task;after demographic;education;Bachelor degree
