Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
1;1590421534347;25/05/2020 15:45:34;1590421532053;2;25/05/2020 17:45:32;17308;16;questionnaire-jskt;;5132677;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1038x674;after demographic;StartAndConsent;7;BRAC1_vertAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590421543844;25/05/2020 15:45:43;1590421541578;2;25/05/2020 17:45:41;17308;16;questionnaire-jskt;;5132677;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x706;after demographic;StartAndConsent;7;BRAC1_vertAA_1st300;after consent;after task;after demographic;ConsentFlag;1
3;1590421543922;25/05/2020 15:45:43;1590421541582;2;25/05/2020 17:45:41;17308;16;questionnaire-jskt;;5132677;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x706;after demographic;StartAndConsent;7;BRAC1_vertAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;9529
1;1590493860065;26/05/2020 11:51:00;1590493859981;2;26/05/2020 13:50:59;17308;16;questionnaire-jskt;;5141384;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_horiAL_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590493946005;26/05/2020 11:52:26;1590493945869;2;26/05/2020 13:52:25;17308;16;questionnaire-jskt;;5141384;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_horiAL_1st0;after consent;after task;after demographic;ConsentFlag;1
3;1590493946068;26/05/2020 11:52:26;1590493945872;2;26/05/2020 13:52:25;17308;16;questionnaire-jskt;;5141384;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;StartAndConsent;7;BRAC1_horiAL_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;85891
1;1590512986048;26/05/2020 17:09:46;1590512982944;2;26/05/2020 19:09:42;17308;16;questionnaire-jskt;;5146235;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1280x578;after demographic;StartAndConsent;7;BRAC1_vertAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590513130329;26/05/2020 17:12:10;1590513126666;2;26/05/2020 19:12:06;17308;16;questionnaire-jskt;;5146235;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;StartAndConsent;7;BRAC1_vertAA_1st0;after consent;after task;after demographic;ConsentFlag;1
3;1590513130407;26/05/2020 17:12:10;1590513126675;2;26/05/2020 19:12:06;17308;16;questionnaire-jskt;;5146235;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;StartAndConsent;7;BRAC1_vertAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;143731
1;1590510255570;26/05/2020 16:24:15;1590510255462;2;26/05/2020 18:24:15;17308;16;questionnaire-jskt;;5145763;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;687x754;after demographic;StartAndConsent;7;BRAC1_horiLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
