Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
1;1590495787504;26/05/2020 12:23:07;1590495787427;2;26/05/2020 14:23:07;17308;16;questionnaire-jxyl;;5141909;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;Final_Info;1;BRAC1_horiAL_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590495798492;26/05/2020 12:23:18;1590495798445;2;26/05/2020 14:23:18;17308;16;questionnaire-jxyl;;5141909;GM4;1450057;;complete;dxhnsc;;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 13.1;1440x900;1440x837;after demographic;Final_Info;1;BRAC1_horiAL_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;11019
1;1590511957840;26/05/2020 16:52:37;1590511957733;2;26/05/2020 18:52:37;17308;16;questionnaire-jxyl;;5146024;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;Final_Info;1;BRAC1_horiLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590511971837;26/05/2020 16:52:51;1590511971690;2;26/05/2020 18:52:51;17308;16;questionnaire-jxyl;;5146024;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;Final_Info;1;BRAC1_horiLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;13957
1;1590511971398;26/05/2020 16:52:51;1590511970514;2;26/05/2020 18:52:50;17308;16;questionnaire-jxyl;;5146026;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;Final_Info;1;BRAC1_horiAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590512067777;26/05/2020 16:54:27;1590512066055;2;26/05/2020 18:54:26;17308;16;questionnaire-jxyl;;5146026;WI5;1450061;;complete;qwsldf;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;Final_Info;1;BRAC1_horiAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;95543
1;1590515436105;26/05/2020 17:50:36;1590515433017;2;26/05/2020 19:50:33;17308;16;questionnaire-jxyl;;5147044;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1280x578;after demographic;Final_Info;1;BRAC1_vertAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590515493860;26/05/2020 17:51:33;1590515490683;2;26/05/2020 19:51:30;17308;16;questionnaire-jxyl;;5147044;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1280x578;after demographic;Final_Info;1;BRAC1_vertAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;57666
1;1590507048149;26/05/2020 15:30:48;1590507045689;2;26/05/2020 17:30:45;17308;16;questionnaire-jxyl;;5145041;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;Final_Info;1;BRAC1_vertLA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590507060828;26/05/2020 15:31:00;1590507058401;2;26/05/2020 17:30:58;17308;16;questionnaire-jxyl;;5145041;XL2;1454242;;complete;anqniv;;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1280x720;1280x610;after demographic;Final_Info;1;BRAC1_vertLA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;12712
1;1590423235253;25/05/2020 16:13:55;1590423232768;2;25/05/2020 18:13:52;17308;16;questionnaire-jxyl;;5132914;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x706;after demographic;Final_Info;1;BRAC1_vertAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590423247767;25/05/2020 16:14:07;1590423245498;2;25/05/2020 18:14:05;17308;16;questionnaire-jxyl;;5132914;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x706;after demographic;Final_Info;1;BRAC1_vertAA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;12730
