Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
1;1590003498527;20/05/2020 19:38:18;1590003498442;2;20/05/2020 21:38:18;17308;16;questionnaire-ppea;;5053570;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;DataConsent;2;BRAC1_vertLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590003502147;20/05/2020 19:38:22;1590003502095;2;20/05/2020 21:38:22;17308;16;questionnaire-ppea;;5053570;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;DataConsent;2;BRAC1_vertLA_1st0;after consent;after task;after demographic;datatConsent;1
3;1590003502209;20/05/2020 19:38:22;1590003502099;2;20/05/2020 21:38:22;17308;16;questionnaire-ppea;;5053570;LU1;1388447;;complete;wslfiz;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1920x1080;1920x994;after demographic;DataConsent;2;BRAC1_vertLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;3657
1;1590048633020;21/05/2020 08:10:33;1590048633945;2;21/05/2020 10:10:33;17308;16;questionnaire-ppea;;5057795;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x754;after demographic;DataConsent;2;BRAC1_horiLA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590048636770;21/05/2020 08:10:36;1590048637739;2;21/05/2020 10:10:37;17308;16;questionnaire-ppea;;5057795;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;after demographic;DataConsent;2;BRAC1_horiLA_1st300;after consent;after task;after demographic;datatConsent;1
3;1590048636864;21/05/2020 08:10:36;1590048637742;2;21/05/2020 10:10:37;17308;16;questionnaire-ppea;;5057795;YF1;1388446;;complete;sgjbim;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;after demographic;DataConsent;2;BRAC1_horiLA_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;3797
1;1590067881519;21/05/2020 13:31:21;1590067880668;2;21/05/2020 15:31:20;17308;16;questionnaire-ppea;;5063397;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;DataConsent;2;BRAC1_horiAA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590067884872;21/05/2020 13:31:24;1590067884069;2;21/05/2020 15:31:24;17308;16;questionnaire-ppea;;5063397;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;DataConsent;2;BRAC1_horiAA_1st0;after consent;after task;after demographic;datatConsent;1
3;1590067884949;21/05/2020 13:31:24;1590067884071;2;21/05/2020 15:31:24;17308;16;questionnaire-ppea;;5063397;LY8;1388445;;complete;nutmdb;;computer;Desktop or Laptop;Mac OS 10.15.4;Chrome 81.0.4044.138;1280x800;1260x638;after demographic;DataConsent;2;BRAC1_horiAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;3403
1;1590335460403;24/05/2020 15:51:00;1590335459819;2;24/05/2020 17:50:59;17308;16;questionnaire-ppea;;5113235;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_vertLL_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590336995654;24/05/2020 16:16:35;1590336983921;2;24/05/2020 18:16:23;17308;16;questionnaire-ppea;;5113235;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_vertLL_1st300;after consent;after task;after demographic;datatConsent;1
3;1590336995732;24/05/2020 16:16:35;1590336983925;2;24/05/2020 18:16:23;17308;16;questionnaire-ppea;;5113235;TO3;1388449;;complete;foxhgd;;computer;Desktop or Laptop;Mac OS 10.15.2;Safari 13.0.4;1440x900;1440x837;after demographic;DataConsent;2;BRAC1_vertLL_1st300;after consent;after task;after demographic;END QUESTIONNAIRE;1524106
1;1590421545503;25/05/2020 15:45:45;1590421543178;2;25/05/2020 17:45:43;17308;16;questionnaire-ppea;;5132679;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x706;after demographic;DataConsent;2;BRAC1_vertAA_1st300;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590421549316;25/05/2020 15:45:49;1590421547031;2;25/05/2020 17:45:47;17308;16;questionnaire-ppea;;5132679;NW8;1450055;;complete;wgvjwo;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x706;after demographic;DataConsent;2;BRAC1_vertAA_1st300;after consent;after task;after demographic;datatConsent;1
