Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
1;1589786911561;18/05/2020 07:28:31;1589786910845;2;18/05/2020 09:28:30;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;;;BEGIN TASK;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1589786943801;18/05/2020 07:29:03;1589786943128;2;18/05/2020 09:29:03;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;1;Screen 1;advancementZone;continue_button;31496;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
3;1589786955245;18/05/2020 07:29:15;1589786954554;2;18/05/2020 09:29:14;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;2;Screen 2;advancementZone;continue_button;11414;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
4;1589786965363;18/05/2020 07:29:25;1589786964693;2;18/05/2020 09:29:24;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;3;Screen 3;advancementZone;continue_button;10130;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
5;1589786967931;18/05/2020 07:29:27;1589786967198;2;18/05/2020 09:29:27;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;4;Screen 4;Zone3;response_button_text;2494;;Start the training!;1;1;0;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
6;1589786971848;18/05/2020 07:29:31;1589786971183;2;18/05/2020 09:29:31;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;6;Screen 6;advancementZone;timelimit_screen;4003;;;;0;1;0;;;1;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
7;1589786973256;18/05/2020 07:29:33;1589786972583;2;18/05/2020 09:29:32;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
8;1589786973552;18/05/2020 07:29:33;1589786972887;2;18/05/2020 09:29:32;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;2;Screen 2;advancementZone;timelimit_screen;303;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
9;1589786973850;18/05/2020 07:29:33;1589786973188;2;18/05/2020 09:29:33;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
10;1589786976508;18/05/2020 07:29:36;1589786975689;2;18/05/2020 09:29:35;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;4;Screen 5;Zone1;timelimit_screen;2500;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
11;1589786977759;18/05/2020 07:29:37;1589786977087;2;18/05/2020 09:29:37;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;3;2;1;Screen 1;fixation;fixation;1400;;;;0;1;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori2.png;;;;L;vertLA.png;;;;black;black;hori;2;parity;;;;2
12;1589786978056;18/05/2020 07:29:38;1589786977387;2;18/05/2020 09:29:37;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;3;2;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori2.png;;;;L;vertLA.png;;;;black;black;hori;2;parity;;;;2
13;1589786978352;18/05/2020 07:29:38;1589786977688;2;18/05/2020 09:29:37;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;3;2;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori2.png;;;;L;vertLA.png;;;;black;black;hori;2;parity;;;;2
14;1589786979354;18/05/2020 07:29:39;1589786978693;2;18/05/2020 09:29:38;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;3;2;4;Screen 5;Zone4;response_keyboard_single;988;;L;1;1;0;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori2.png;;;;L;vertLA.png;;;;black;black;hori;2;parity;;;;2
15;1589786980947;18/05/2020 07:29:40;1589786980273;2;18/05/2020 09:29:40;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;4;3;1;Screen 1;fixation;fixation;1399;;;;0;1;0;;;;;;training;;;;;;blackblackvert.png;blackblackvert7.png;;;;L;vertLA.png;;;;black;black;vert;7;magnit;;;;3
16;1589786981245;18/05/2020 07:29:41;1589786980574;2;18/05/2020 09:29:40;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;4;3;2;Screen 2;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert7.png;;;;L;vertLA.png;;;;black;black;vert;7;magnit;;;;3
17;1589786981547;18/05/2020 07:29:41;1589786980874;2;18/05/2020 09:29:40;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;4;3;3;Screen 3;advancementZone;timelimit_screen;299;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert7.png;;;;L;vertLA.png;;;;black;black;vert;7;magnit;;;;3
18;1589786982453;18/05/2020 07:29:42;1589786981773;2;18/05/2020 09:29:41;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;4;3;4;Screen 5;Zone4;response_keyboard_single;881.9999999999854;;L;1;1;0;0;;;;;;training;;;;;;blackblackvert.png;blackblackvert7.png;;;;L;vertLA.png;;;;black;black;vert;7;magnit;;;;3
19;1589786984035;18/05/2020 07:29:44;1589786983360;2;18/05/2020 09:29:43;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;5;4;1;Screen 1;fixation;fixation;1403;;;;0;1;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori3.png;;;;A;vertLA.png;;;;black;black;hori;3;parity;;;;4
20;1589786984315;18/05/2020 07:29:44;1589786983660;2;18/05/2020 09:29:43;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;5;4;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori3.png;;;;A;vertLA.png;;;;black;black;hori;3;parity;;;;4
21;1589786984633;18/05/2020 07:29:44;1589786983961;2;18/05/2020 09:29:43;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;5;4;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori3.png;;;;A;vertLA.png;;;;black;black;hori;3;parity;;;;4
22;1589786985691;18/05/2020 07:29:45;1589786985022;2;18/05/2020 09:29:45;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;5;4;4;Screen 5;Zone3;response_keyboard_single;1044.0000000000146;;A;1;1;0;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori3.png;;;;A;vertLA.png;;;;black;black;hori;3;parity;;;;4
23;1589786987270;18/05/2020 07:29:47;1589786986611;2;18/05/2020 09:29:46;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;6;5;1;Screen 1;fixation;fixation;1401;;;;0;1;0;;;;;;training;;;;;;blackblackvert.png;blackblackvert6.png;;;;L;vertLA.png;;;;black;black;vert;6;magnit;;;;5
24;1589786987583;18/05/2020 07:29:47;1589786986912;2;18/05/2020 09:29:46;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;6;5;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert6.png;;;;L;vertLA.png;;;;black;black;vert;6;magnit;;;;5
25;1589786987880;18/05/2020 07:29:47;1589786987212;2;18/05/2020 09:29:47;17326;8;task-me89;;4994482;NY3;1414591;;complete;ifjiel;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x812;demographics done;Instr_Train_Exp_BRAC2;6;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;6;5;3;Screen 3;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert6.png;;;;L;vertLA.png;;;;black;black;vert;6;magnit;;;;5
