"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"pp";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"questionKey";"Response"
1;1590430893809;"25/05/2020 18:21:33";1590430893700;2;"25/05/2020 20:21:33";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1920x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
2;1590430931760;"25/05/2020 18:22:11";1590430931710;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"sex";"female"
3;1590430931822;"25/05/2020 18:22:11";1590430931713;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"sex-quantised";"2"
4;1590430931822;"25/05/2020 18:22:11";1590430931713;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"age";"32"
5;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
6;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
7;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"response-2-text";""
8;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"response-3";"German"
9;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"country";"Germany"
10;1590430931822;"25/05/2020 18:22:11";1590430931714;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"education";"Some university/higher education but no degree"
11;1590430931822;"25/05/2020 18:22:11";1590430931715;2;"25/05/2020 20:22:11";17326;13;"questionnaire-b579";NA;5134115;"JM0";1450119;NA;"complete";"ipsflx";NA;"computer";"Desktop or Laptop";"Windows 7";"Chrome 81.0.4044.138";"1920x1200";"1903x1080";"demographics done";"demographic";4;"BRAC2_horiLL_1st0";"Consents given";"exp done";"demographics done";"education-quantised";"4"
