Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
1;1590679571869;28/05/2020 15:26:11;1590679571764;-4;28/05/2020 11:26:11;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1590679622250;28/05/2020 15:27:02;1590679622170;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;sex;female
3;1590679622516;28/05/2020 15:27:02;1590679622171;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;sex-quantised;2
4;1590679622516;28/05/2020 15:27:02;1590679622171;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;age;27
5;1590679622516;28/05/2020 15:27:02;1590679622171;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;response-2;right-handed
6;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;response-2-quantised;1
7;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;response-2-text;
8;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;50408
9;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;country;Canada
10;1590679622516;28/05/2020 15:27:02;1590679622172;-4;28/05/2020 11:27:02;18619;2;questionnaire-b579;;5179642;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;demographic;4;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;education;Master degree
