Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
1;1591180577305;03/06/2020 10:36:17;1591180576676;2;03/06/2020 12:36:16;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1536x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591180648330;03/06/2020 10:37:28;1591180647756;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;sex;female
3;1591180648425;03/06/2020 10:37:28;1591180647758;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;sex-quantised;2
4;1591180648425;03/06/2020 10:37:28;1591180647758;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;age;21
5;1591180648425;03/06/2020 10:37:28;1591180647758;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;response-2;right-handed
6;1591180648425;03/06/2020 10:37:28;1591180647758;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;response-2-quantised;1
7;1591180648425;03/06/2020 10:37:28;1591180647758;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;response-2-text;
8;1591180648425;03/06/2020 10:37:28;1591180647759;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;END QUESTIONNAIRE;71083
9;1591180648425;03/06/2020 10:37:28;1591180647759;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;country;poland
10;1591180648425;03/06/2020 10:37:28;1591180647759;2;03/06/2020 12:37:27;18619;2;questionnaire-b579;;5287187;5d1cfc4ee950480015366f7b;1489054;;complete;;5ed7784e8d04bb0252d38841;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiLL_1st0;Consents given;exp done;demographics done;education;Some university/higher education but no degree
