Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
1;1591181210480;03/06/2020 10:46:50;1591181209833;2;03/06/2020 12:46:49;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1920x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591181247949;03/06/2020 10:47:27;1591181247345;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;sex;male
3;1591181248058;03/06/2020 10:47:28;1591181247346;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;sex-quantised;1
4;1591181248058;03/06/2020 10:47:28;1591181247346;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;age;19
5;1591181248058;03/06/2020 10:47:28;1591181247346;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2;right-handed
6;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2-quantised;1
7;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-2-text;
8;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;37514
9;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;country;Italy
10;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;education;High school diploma
11;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;education-quantised;3
12;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;psyKnowledge;Not at all
13;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;1
14;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;comment;
15;1591181248058;03/06/2020 10:47:28;1591181247347;2;03/06/2020 12:47:27;18619;2;questionnaire-b579;;5287351;5e6d5d899dae0e328cc4a169;1489074;;complete;;5ed77853c5fc2f03621f1758;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;demographics done;demographic;4;BRAC2_vertAL_1st300;Consents given;exp done;demographics done;response-3;Italian
1;1591193729794;03/06/2020 14:15:29;1591193727593;2;03/06/2020 16:15:27;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1920x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591193800400;03/06/2020 14:16:40;1591193797508;2;03/06/2020 16:16:37;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;sex;female
3;1591193800494;03/06/2020 14:16:40;1591193797511;2;03/06/2020 16:16:37;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;sex-quantised;2
4;1591193800494;03/06/2020 14:16:40;1591193797512;2;03/06/2020 16:16:37;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;age;18
5;1591193800494;03/06/2020 14:16:40;1591193797512;2;03/06/2020 16:16:37;18619;2;questionnaire-b579;;5290490;5e53d2941b233d02960a0dde;1490396;;complete;;5ed7ab04b8c163256b41d9b4;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_horiLA_1st0;Consents given;exp done;demographics done;response-2;right-handed
