"";"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"Question.Key";"Response"
"1";"1";1591181210480;"03/06/2020 10:46:50";1591181209833;2;"03/06/2020 12:46:49";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1920x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";"2";1591181247949;"03/06/2020 10:47:27";1591181247345;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";"3";1591181248058;"03/06/2020 10:47:28";1591181247346;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";"4";1591181248058;"03/06/2020 10:47:28";1591181247346;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"age";"19"
"5";"5";1591181248058;"03/06/2020 10:47:28";1591181247346;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";"6";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";"7";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";"8";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"END QUESTIONNAIRE";"37514"
"9";"9";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"country";"Italy"
"10";"10";1591181248058;"03/06/2020 10:47:28";1591181247347;2;"03/06/2020 12:47:27";18619;2;"questionnaire-b579";NA;5287351;"5e6d5d899dae0e328cc4a169";1489074;NA;"complete";NA;"5ed77853c5fc2f03621f1758";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_vertAL_1st300";"Consents given";"exp done";"demographics done";"education";"High school diploma"
