Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Question Key;Response
1;1593766008464;03/07/2020 08:46:48;1593766008347;1;03/07/2020 09:46:48;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;BEGIN QUESTIONNAIRE;
2;1593766027335;03/07/2020 08:47:07;1593766027274;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;sex;female
3;1593766027442;03/07/2020 08:47:07;1593766027276;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;sex-quantised;2
4;1593766027442;03/07/2020 08:47:07;1593766027276;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;age;33
5;1593766027442;03/07/2020 08:47:07;1593766027276;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;response-2;right-handed
6;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;response-2-quantised;1
7;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;response-2-text;
8;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;response-3;English
9;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;country;United Kingsom
10;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;education;Bachelor degree
11;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;education-quantised;5
12;1593766027442;03/07/2020 08:47:07;1593766027277;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;psyKnowledge;Not at all
13;1593766027442;03/07/2020 08:47:07;1593766027278;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;psyKnowledge-quantised;1
14;1593766027442;03/07/2020 08:47:07;1593766027278;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;comment;
15;1593766027442;03/07/2020 08:47:07;1593766027278;1;03/07/2020 09:47:07;18619;3;questionnaire-b579;;5881665;5d1f9776676cd1001580ae9c;1655959;;complete;;5efeebb23df457011881e47d;computer;Desktop or Laptop;Mac OS 10.15.5;Safari 13.1.1;1440x900;1440x837;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertLL_1st300;;END QUESTIONNAIRE;18931
1;1593766300564;03/07/2020 08:51:40;1593766300435;2;03/07/2020 10:51:40;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1366x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;BEGIN QUESTIONNAIRE;
2;1593766338310;03/07/2020 08:52:18;1593766338073;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;sex;female
3;1593766338420;03/07/2020 08:52:18;1593766338075;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;sex-quantised;2
4;1593766338420;03/07/2020 08:52:18;1593766338075;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;age;27
5;1593766338420;03/07/2020 08:52:18;1593766338075;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;response-2;right-handed
6;1593766338420;03/07/2020 08:52:18;1593766338076;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;response-2-quantised;1
7;1593766338420;03/07/2020 08:52:18;1593766338076;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;response-2-text;
8;1593766338420;03/07/2020 08:52:18;1593766338076;2;03/07/2020 10:52:18;18619;3;questionnaire-b579;;5881782;5eba67eb17a5461ab1182c5a;1655957;;complete;;5efeebb0f7f70b406805b911;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1366x768;1349x657;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;;response-3;Italian
