Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Question Key;Response
1;1593785590864;03/07/2020 14:13:10;1593785590729;2;03/07/2020 16:13:10;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BEGIN QUESTIONNAIRE;
2;1593785642740;03/07/2020 14:14:02;1593785642673;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;sex;male
3;1593785642850;03/07/2020 14:14:02;1593785642674;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;sex-quantised;1
4;1593785642850;03/07/2020 14:14:02;1593785642674;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;age;20
5;1593785642850;03/07/2020 14:14:02;1593785642674;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;response-2;right-handed
6;1593785642850;03/07/2020 14:14:02;1593785642675;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;response-2-quantised;1
7;1593785642850;03/07/2020 14:14:02;1593785642675;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;response-2-text;
8;1593785642850;03/07/2020 14:14:02;1593785642675;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;response-3;English
9;1593785642850;03/07/2020 14:14:02;1593785642675;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;country;Poland
10;1593785642850;03/07/2020 14:14:02;1593785642675;2;03/07/2020 16:14:02;18619;4;questionnaire-b579;;5892379;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x1080;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;education;High school diploma
