Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
1;1593783952685;03/07/2020 13:45:52;1593783952541;2;03/07/2020 15:45:52;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;;;BEGIN TASK;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1593784104215;03/07/2020 13:48:24;1593784103958;2;03/07/2020 15:48:23;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;1;1;1;Screen 1;advancementZone;continue_button;150971.96500003338;;;;0;1;0;;;;;;Instructions;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;;horiAL.png;;;;;;;;;;;;0
3;1593784123878;03/07/2020 13:48:43;1593784123795;2;03/07/2020 15:48:43;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;1;1;2;Screen 2;advancementZone;continue_button;19820.300000021234;;;;0;1;0;;;;;;Instructions;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;;horiAL.png;;;;;;;;;;;;0
4;1593784145216;03/07/2020 13:49:05;1593784145124;2;03/07/2020 15:49:05;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;1;1;3;Screen 3;advancementZone;continue_button;21319.95499995537;;;;0;1;0;;;;;;Instructions;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;;horiAL.png;;;;;;;;;;;;0
5;1593784145310;03/07/2020 13:49:05;1593784145160;2;03/07/2020 15:49:05;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;1;1;4;Screen 4;Zone3;response_button_text;10.010000027250499;;Start the training!;1;1;0;0;;;;;;Instructions;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;;horiAL.png;;;;;;;;;;;;0
6;1593784149231;03/07/2020 13:49:09;1593784149116;2;03/07/2020 15:49:09;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;1;1;6;Screen 6;advancementZone;timelimit_screen;4000.11500000002;;;;0;1;0;;;1;;;Instructions;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## Press A to indicate greater than 5.;## Press L to indicate less than 5.;;horiAL.png;;;;;;;;;;;;0
7;1593784150856;03/07/2020 13:49:10;1593784150515;2;03/07/2020 15:49:10;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;2;1;1;Screen 1;fixation;fixation;1400.066999999981;;;;0;1;0;;;;;;training;;;;;;blackblackvert.png;blackblackvert4.png;;;;A;horiAL.png;;;;black;black;vert;4;parity;;;;1
8;1593784151028;03/07/2020 13:49:11;1593784150816;2;03/07/2020 15:49:10;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;2;1;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert4.png;;;;A;horiAL.png;;;;black;black;vert;4;parity;;;;1
9;1593784151216;03/07/2020 13:49:11;1593784151116;2;03/07/2020 15:49:11;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;2;1;3;Screen 3;advancementZone;timelimit_screen;300.01600000000326;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert4.png;;;;A;horiAL.png;;;;black;black;vert;4;parity;;;;1
10;1593784153726;03/07/2020 13:49:13;1593784153617;2;03/07/2020 15:49:13;18619;4;task-me89;;5891165;5dcdbee523eb6a02e122c847;1658177;;complete;;5eff3630ce3c5547c8cf08b5;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x1080;demographics done;Instr_Train_Exp_BRAC2;9;Consents given;exp done;demographics done;BRAC2_horiAL_1st0;;BRAC2_horiAA_1st300;2;1;4;Screen 5;Zone1;timelimit_screen;2500.110000000015;;;;0;1;0;;;1;;;training;;;;;;blackblackvert.png;blackblackvert4.png;;;;A;horiAL.png;;;;black;black;vert;4;parity;;;;1
