"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.ngg1";"checkpoint.nubw";"checkpoint.t5ey";"Question.Key";"Response"
"1";1593681331349;"02/07/2020 09:15:31";1593681330187;1;"02/07/2020 10:15:30";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1920x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"BEGIN QUESTIONNAIRE";""
"2";1593681385849;"02/07/2020 09:16:25";1593681384706;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex";"male"
"3";1593681385942;"02/07/2020 09:16:25";1593681384708;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"sex-quantised";"1"
"4";1593681385942;"02/07/2020 09:16:25";1593681384708;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"age";"21"
"5";1593681385942;"02/07/2020 09:16:25";1593681384708;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2";"right-handed"
"6";1593681385942;"02/07/2020 09:16:25";1593681384708;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-quantised";"1"
"7";1593681385942;"02/07/2020 09:16:25";1593681384709;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-2-text";""
"8";1593681385942;"02/07/2020 09:16:25";1593681384709;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"response-3";"Portuguese"
"9";1593681385942;"02/07/2020 09:16:25";1593681384709;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"country";"Portugal"
"10";1593681385942;"02/07/2020 09:16:25";1593681384710;1;"02/07/2020 10:16:24";18619;2;"questionnaire-b579";NA;5865950;"5c474d6ca8703f0001b6cf26";1651009;NA;"complete";NA;"5efd9e34272abb0008e840e3";"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.116";"1920x1080";"1903x969";"demographics done";"demographic";4;"BRAC2_horiLA_1st300";"Consents given";"exp done";"demographics done";"education";"Bachelor degree"
