"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.4d69";"checkpoint.7y1f";"checkpoint.fqea";"Question.Key";"Response"
"1";1594197824327;"08/07/2020 08:43:44";1594197824193;"-5";"08/07/2020 03:43:44";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"BEGIN QUESTIONNAIRE";""
"2";1594197844493;"08/07/2020 08:44:04";1594197844407;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"sex";"female"
"3";1594197844620;"08/07/2020 08:44:04";1594197844409;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"sex-quantised";"2"
"4";1594197844620;"08/07/2020 08:44:04";1594197844409;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"age";"29"
"5";1594197844620;"08/07/2020 08:44:04";1594197844409;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"response-2";"right-handed"
"6";1594197844620;"08/07/2020 08:44:04";1594197844409;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"response-2-quantised";"1"
"7";1594197844620;"08/07/2020 08:44:04";1594197844410;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"response-2-text";""
"8";1594197844620;"08/07/2020 08:44:04";1594197844410;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"response-3";"English"
"9";1594197844620;"08/07/2020 08:44:04";1594197844410;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"country";"USA"
"10";1594197844620;"08/07/2020 08:44:04";1594197844410;"-5";"08/07/2020 03:44:04";18755;5;"questionnaire-89vf";NA;5957112;"5ea90de5a5bad5377430424a";1677875;NA;"complete";NA;"5f0582b53c0c4201235381ef";"computer";"Desktop or Laptop";"Mac OS 10.15.5";"Chrome 83.0.4103.116";"1280x800";"1260x695";"after demographic";"demographic";4;"BRAC1_vertLA_1st300";"after consent";"after demographic";"Task done";"education";"High school diploma"
