"Event.Index";"UTC.Timestamp";"UTC.Date";"Local.Timestamp";"Local.Timezone";"Local.Date";"Experiment.ID";"Experiment.Version";"Tree.Node.Key";"Repeat.Key";"Schedule.ID";"Participant.Public.ID";"Participant.Private.ID";"Participant.Starting.Group";"Participant.Status";"Participant.Completion.Code";"Participant.External.Session.ID";"Participant.Device.Type";"Participant.Device";"Participant.OS";"Participant.Browser";"Participant.Monitor.Size";"Participant.Viewport.Size";"Checkpoint";"Task.Name";"Task.Version";"counterbalance.9qvq";"checkpoint.4d69";"checkpoint.7y1f";"checkpoint.fqea";"Question.Key";"Response"
"1";1590750867660;"29/05/2020 11:14:27";1590750868297;2;"29/05/2020 13:14:28";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1280x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"BEGIN QUESTIONNAIRE";""
"2";1590750899354;"29/05/2020 11:14:59";1590750900021;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"sex";"female"
"3";1590750899448;"29/05/2020 11:14:59";1590750900023;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"sex-quantised";"2"
"4";1590750899448;"29/05/2020 11:14:59";1590750900023;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"age";"28"
"5";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"response-2";"right-handed"
"6";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"response-2-quantised";"1"
"7";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"response-2-text";""
"8";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"response-3";"german"
"9";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"country";"germany"
"10";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"education";"Master degree"
"11";1590750899448;"29/05/2020 11:14:59";1590750900024;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"education-quantised";"6"
"12";1590750899448;"29/05/2020 11:14:59";1590750900025;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"psyKnowledge";"I've a degree related to one of these fields."
"13";1590750899448;"29/05/2020 11:14:59";1590750900025;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"psyKnowledge-quantised";"4"
"14";1590750899448;"29/05/2020 11:14:59";1590750900025;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"comment";""
"15";1590750899448;"29/05/2020 11:14:59";1590750900025;2;"29/05/2020 13:15:00";18723;2;"questionnaire-89vf";NA;5197574;"OY2";1463393;NA;"complete";"lpfteg";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_horiAA_1st0";"after consent";"after demographic";"Task done";"END QUESTIONNAIRE";"31728"
"1";1590775262209;"29/05/2020 18:01:02";1590775261560;2;"29/05/2020 20:01:01";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1280x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"BEGIN QUESTIONNAIRE";""
"2";1590775314569;"29/05/2020 18:01:54";1590775313793;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"sex";"female"
"3";1590775314662;"29/05/2020 18:01:54";1590775313798;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"sex-quantised";"2"
"4";1590775314662;"29/05/2020 18:01:54";1590775313801;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"age";"22"
"5";1590775314662;"29/05/2020 18:01:54";1590775313802;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"response-2";"right-handed"
"6";1590775314662;"29/05/2020 18:01:54";1590775313802;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"response-2-quantised";"1"
"7";1590775314662;"29/05/2020 18:01:54";1590775313803;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"response-2-text";""
"8";1590775314662;"29/05/2020 18:01:54";1590775313804;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"response-3";"german"
"9";1590775314662;"29/05/2020 18:01:54";1590775313805;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"country";"Germany"
"10";1590775314662;"29/05/2020 18:01:54";1590775313805;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"education";"High school diploma"
"11";1590775314662;"29/05/2020 18:01:54";1590775313806;2;"29/05/2020 20:01:53";18723;2;"questionnaire-89vf";NA;5209343;"SN4";1463400;NA;"complete";"aomzqv";NA;"computer";"Desktop or Laptop";"Windows 10";"Chrome 83.0.4103.61";"1280x720";"1263x610";"after demographic";"demographic";4;"BRAC1_vertAA_1st0";"after consent";"after demographic";"Task done";"education-quantised";"3"
