"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanerror";"n";"se"
"1";"0";"0";"0";"0";19;"f";"lab";0,0731707317073171;41;0,0411754707710589
"1";"0";"0";"0";"300";19;"f";"lab";0,0652173913043478;46;0,0368070292730443
"1";"0";"0";"1";"0";19;"f";"lab";0,102564102564103;39;0,0492161471762766
"1";"0";"0";"1";"300";19;"f";"lab";0,0576923076923077;52;0,0326490264471987
"1";"0";"1";"0";"0";19;"f";"lab";0,131147540983607;61;0,0435790208467254
"1";"0";"1";"0";"300";19;"f";"lab";0,0576923076923077;52;0,0326490264471987
"1";"0";"1";"1";"0";19;"f";"lab";0,0357142857142857;56;0,025023180348049
"1";"0";"1";"1";"300";19;"f";"lab";0,0862068965517241;58;0,0371755596799844
"1";"1";"0";"0";"0";19;"f";"lab";0,0681818181818182;44;0,0384384309420226
"1";"1";"0";"0";"300";19;"f";"lab";0,138888888888889;36;0,0584560312010168
"1";"1";"0";"1";"0";19;"f";"lab";0,222222222222222;45;0,0626751194241962
"1";"1";"0";"1";"300";19;"f";"lab";0,0975609756097561;41;0,0469155708821252
"1";"1";"1";"0";"0";19;"f";"lab";0,0666666666666667;45;0,0376050716545177
"1";"1";"1";"0";"300";19;"f";"lab";0,06;50;0,0339266916772512
"1";"1";"1";"1";"0";19;"f";"lab";0,102040816326531;49;0,0436912672743712
"1";"1";"1";"1";"300";19;"f";"lab";0,0666666666666667;45;0,0376050716545177
"10";"0";"0";"0";"0";25;"f";"lab";0,0714285714285714;56;0,0347266024860284
"10";"0";"0";"0";"300";25;"f";"lab";0,148936170212766;47;0,052493102531401
"10";"0";"0";"1";"0";25;"f";"lab";0,0606060606060606;33;0,0421800330517426
"10";"0";"0";"1";"300";25;"f";"lab";0,024390243902439;41;0,024390243902439
"10";"0";"1";"0";"0";25;"f";"lab";0,0925925925925926;54;0,0398154242392376
"10";"0";"1";"0";"300";25;"f";"lab";0,112903225806452;62;0,0405204031603568
"10";"0";"1";"1";"0";25;"f";"lab";0,0483870967741935;62;0,0274745144619036
"10";"0";"1";"1";"300";25;"f";"lab";0,115384615384615;52;0,0447369229259846
"10";"1";"0";"0";"0";25;"f";"lab";0,147058823529412;34;0,0616521340660295
"10";"1";"0";"0";"300";25;"f";"lab";0,0754716981132075;53;0,0366311450337415
"10";"1";"0";"1";"0";25;"f";"lab";0,0851063829787234;47;0,0411421941867476
