"","V1","V2","V3","V4"
"1",0,0,0,3
"2",0,0,0,11
"3",0,0,0,9
"4",0,0,0,10
"5",0,0,0,15
"6",0,0,0,13
"7",0,0,0,11
"8",0,0,0,15
"9",0,0,0,7
"10",0,0,0,6
"11",0,0,0,10
"12",0,0,0,7
"13",0,0,0,10
"14",0,0,0,8
"15",0,0,0,8
"16",0,0,0,10
"17",0,0,0,15
"18",0,0,0,10
"19",0,0,0,8
"20",0,0,0,6
"21",0,0,0,18
"22",0,0,0,12
"23",0,0,0,9
"24",0,0,0,7
"25",0,0,0,3
"26",0,0,0,10
"27",0,0,0,6
"28",0,0,0,12
"29",0,0,0,7
"30",0,0,0,3
"31",0,0,0,11
"32",0,0,0,9
"33",0,0,0,6
"34",0,0,0,8
"35",0,0,0,10
"36",0,0,0,8
"37",0,0,0,11
"38",0,0,0,14
"39",0,0,0,16
"40",0,0,0,13
"41",0,0,0,8
"42",0,0,0,10
"43",0,0,0,11
"44",0,0,0,12
"45",0,0,0,13
"46",0,0,0,10
"47",0,0,0,12
"48",0,0,0,12
"49",0,0,0,7
"50",0,0,0,12
"51",0,0,0,9
"52",0,0,0,7
"53",0,0,0,9
"54",0,0,0,8
"55",0,0,0,9
"56",0,0,0,12
"57",0,0,0,9
"58",0,0,0,4
"59",0,0,0,13
"60",0,0,0,3
"61",0,0,0,14
"62",0,0,0,19
"63",0,0,0,11
"64",0,0,0,7
"65",0,0,0,9
"66",0,0,0,11
"67",0,0,0,7
"68",0,0,0,9
"69",0,0,0,11
"70",0,0,0,11
"71",0,0,0,14
"72",0,0,0,15
"73",0,0,0,7
"74",0,0,0,11
"75",0,0,0,11
"76",0,0,0,9
"77",0,0,0,7
"78",0,0,0,10
"79",0,0,0,10
"80",0,0,0,13
"81",0,0,0,12
"82",0,0,0,3
"83",0,0,0,12
"84",0,0,0,6
"85",0,0,0,15
"86",0,0,0,15
"87",0,0,0,14
"88",0,0,0,11
"89",0,0,0,15
"90",0,0,0,13
"91",0,0,0,9
"92",0,0,0,13
"93",0,0,0,9
"94",0,0,0,12
"95",0,0,0,5
"96",0,0,0,9
"97",0,0,0,6
"98",0,0,0,10
"99",0,0,0,10
"100",0,0,0,4
"101",0,0,0,17
"102",0,0,0,10
"103",0,0,0,10
"104",0,0,0,6
"105",0,0,0,14
"106",0,0,0,10
"107",0,0,0,5
"108",0,0,0,13
"109",0,0,0,16
"110",0,0,0,10
"111",0,0,0,9
"112",0,0,0,3
"113",0,0,0,8
"114",0,0,0,9
"115",0,0,0,10
"116",0,0,0,9
"117",0,0,0,14
"118",0,0,0,11
"119",0,0,0,12
"120",0,0,0,13
"121",0,0,0,7
"122",0,0,0,3
"123",0,0,0,12
"124",0,0,0,9
"125",0,0,0,11
"126",0,0,0,11
"127",0,0,0,8
"128",0,0,0,11
"129",0,0,0,12
"130",0,0,0,10
"131",0,0,0,11
"132",0,0,0,11
"133",0,0,0,17
"134",0,0,0,9
"135",0,0,0,7
"136",0,0,0,10
"137",0,0,0,10
"138",0,0,0,11
"139",0,0,0,14
"140",0,0,0,8
"141",0,0,0,11
"142",0,0,0,14
"143",0,0,0,8
"144",0,0,0,18
"145",0,0,0,10
"146",0,0,0,16
"147",0,0,0,10
"148",0,0,0,13
"149",0,0,0,18
"150",0,0,0,9
"151",0,0,0,8
"152",0,0,0,9
"153",0,0,0,14
"154",0,0,0,8
"155",0,0,0,13
"156",0,0,0,5
"157",0,0,0,8
"158",0,0,0,10
"159",0,0,0,6
"160",0,0,0,6
"161",0,0,0,13
"162",0,0,0,9
"163",0,0,0,10
"164",0,0,0,14
"165",0,0,0,17
"166",0,0,0,10
"167",0,0,0,10
"168",0,0,0,14
"169",0,0,0,7
"170",0,0,0,5
"171",0,0,0,10
"172",0,0,0,11
"173",0,0,0,10
"174",0,0,0,15
"175",0,0,0,9
"176",0,0,0,12
"177",0,0,0,10
"178",0,0,0,11
"179",0,0,0,6
"180",0,0,0,10
"181",0,0,0,15
"182",0,0,0,14
"183",0,0,0,6
"184",0,0,0,12
"185",0,0,0,11
"186",0,0,0,9
"187",0,0,0,9
"188",0,0,0,9
"189",0,0,0,9
"190",0,0,0,5
"191",0,0,0,9
"192",0,0,0,8
"193",0,0,0,16
"194",0,0,0,9
"195",0,0,0,13
"196",0,0,0,7
"197",0,0,0,10
"198",0,0,0,14
"199",0,0,0,15
"200",0,0,0,11
"201",0,0,0,5
"202",0,0,0,9
"203",0,0,0,17
"204",0,0,0,16
"205",0,0,0,13
"206",0,0,0,11
"207",0,0,0,4
"208",0,0,0,7
"209",0,0,0,14
"210",0,0,0,7
"211",0,0,0,8
"212",0,0,0,8
"213",0,0,0,8
"214",0,0,0,7
"215",0,0,0,12
"216",0,0,0,7
"217",0,0,0,8
"218",0,0,0,8
"219",0,0,0,9
"220",0,0,0,7
"221",0,0,0,11
"222",0,0,0,10
"223",0,0,0,7
"224",0,0,0,13
"225",0,0,0,10
"226",0,0,0,8
"227",0,0,0,6
"228",0,0,0,8
"229",0,0,0,11
"230",0,0,0,15
"231",0,0,0,15
"232",0,0,0,14
"233",0,0,0,10
"234",0,0,0,9
"235",0,0,0,8
"236",0,0,0,4
"237",0,0,0,10
