"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanrt";"n";"se"
"1";"0";"0";"0";"0";19;"f";"lab";540,279063913557;36;33,9555038945185
"1";"0";"0";"0";"300";19;"f";"lab";523,764726443168;39;27,8149604862989
"1";"0";"0";"1";"0";19;"f";"lab";490,348692863218;31;26,1367436717729
"1";"0";"0";"1";"300";19;"f";"lab";452,446081421592;44;19,9936494425447
"1";"0";"1";"0";"0";19;"f";"lab";503,837352213652;46;21,2783398948455
"1";"0";"1";"0";"300";19;"f";"lab";458,143910583185;49;20,5494087455692
"1";"0";"1";"1";"0";19;"f";"lab";472,760810301854;52;19,4987653679104
"1";"0";"1";"1";"300";19;"f";"lab";493,175712286257;51;17,3162492873511
"1";"1";"0";"0";"0";19;"f";"lab";590,257651097065;37;54,0976851550428
"1";"1";"0";"0";"300";19;"f";"lab";549,747811423408;27;46,1539294935855
"1";"1";"0";"1";"0";19;"f";"lab";576,153640089364;29;43,0826400167182
"1";"1";"0";"1";"300";19;"f";"lab";548,543319982641;34;38,2496183164976
"1";"1";"1";"0";"0";19;"f";"lab";514,169722795486;40;30,2021528537366
"1";"1";"1";"0";"300";19;"f";"lab";486,038641496138;44;26,273282174528
"1";"1";"1";"1";"0";19;"f";"lab";535,749461199786;37;33,5981660619972
"1";"1";"1";"1";"300";19;"f";"lab";571,636019526301;37;50,016384640929
"10";"0";"0";"0";"0";25;"f";"lab";831,387483555337;46;60,8979323933964
"10";"0";"0";"0";"300";25;"f";"lab";880,100300817778;33;76,0885319262125
"10";"0";"0";"1";"0";25;"f";"lab";907,119830449423;30;103,38370496116
"10";"0";"0";"1";"300";25;"f";"lab";948,121199241051;39;90,8908307839775
"10";"0";"1";"0";"0";25;"f";"lab";887,502157941777;47;70,7217966140915
"10";"0";"1";"0";"300";25;"f";"lab";775,745810402764;45;71,6132026296542
"10";"0";"1";"1";"0";25;"f";"lab";848,218003097845;49;72,566896960496
"10";"0";"1";"1";"300";25;"f";"lab";780,010285831633;42;58,6629598997948
"10";"1";"0";"0";"0";25;"f";"lab";955,857487825247;26;110,551820471022
"10";"1";"0";"0";"300";25;"f";"lab";1045,38950712784;46;77,8726783447265
"10";"1";"0";"1";"0";25;"f";"lab";1048,03307652473;40;79,1547424698284
"10";"1";"0";"1";"300";25;"f";"lab";861,919509039985;36;72,6644532568684
"10";"1";"1";"0";"0";25;"f";"lab";909,546910105524;37;88,8831401678341
"10";"1";"1";"0";"300";25;"f";"lab";1031,65930509567;28;108,203945405115
"10";"1";"1";"1";"0";25;"f";"lab";916,013435313576;38;87,3287282674061
"10";"1";"1";"1";"300";25;"f";"lab";1029,5111656189;35;82,8008645046048
"11";"0";"0";"0";"0";26;"m";"lab";631,638470818015;34;34,3390121322071
"11";"0";"0";"0";"300";26;"m";"lab";580,148364558365;33;28,5728762318636
"11";"0";"0";"1";"0";26;"m";"lab";756,52152299881;36;63,3546352687028
