Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;parMap;oddMap;evenMap;firstFig;secondFig;cueFileName;stimFileName;magnMap;greatMap;lessMap;ANSWER;mappingsGuide;cue0FileName;breakMessage;;cuecolor;framecolor;orientation;stimulus;task;cocoa;blockN;trialN;__EMPTY
1;1590678261390;28/05/2020 15:04:21;1590678261311;-4;28/05/2020 11:04:21;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;;;BEGIN TASK;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1590678293639;28/05/2020 15:04:53;1590678293585;-4;28/05/2020 11:04:53;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;1;Screen 1;advancementZone;continue_button;31475.000000000007;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
3;1590678308109;28/05/2020 15:05:08;1590678308059;-4;28/05/2020 11:05:08;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;2;Screen 2;advancementZone;continue_button;14461;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
4;1590678318903;28/05/2020 15:05:18;1590678318814;-4;28/05/2020 11:05:18;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;3;Screen 3;advancementZone;continue_button;10745;;;;0;1;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
5;1590678350888;28/05/2020 15:05:50;1590678350833;-4;28/05/2020 11:05:50;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;4;Screen 4;Zone3;response_button_text;32002;;Start the training!;1;1;0;0;;;;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
6;1590678354869;28/05/2020 15:05:54;1590678354826;-4;28/05/2020 11:05:54;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;1;1;6;Screen 6;advancementZone;timelimit_screen;4003;;;;0;1;0;;;1;;;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is odd or even.;## Press A to indicate odd.;## Press L to indicate even.;blackblackvert.png;blackblackhori.png;;;## When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;;vertLA.png;;;;;;;;;;;;0
7;1590678356275;28/05/2020 15:05:56;1590678356220;-4;28/05/2020 11:05:56;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;1;Screen 1;fixation;fixation;1395;;;;0;1;0;;;;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
8;1590678356572;28/05/2020 15:05:56;1590678356521;-4;28/05/2020 11:05:56;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;2;Screen 2;advancementZone;timelimit_screen;300;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
9;1590678356884;28/05/2020 15:05:56;1590678356821;-4;28/05/2020 11:05:56;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;3;Screen 3;advancementZone;timelimit_screen;301;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
10;1590678359381;28/05/2020 15:05:59;1590678359323;-4;28/05/2020 11:05:59;18619;2;task-me89;;5179156;5acc3c34fa3b4e000173c659;1465359;;complete;;5ecfd24609d61f04790e71ae;computer;Desktop or Laptop;Mac OS 10.14.6;Safari 12.1.2;1280x800;1280x656;demographics done;Instr_Train_Exp_BRAC2;9;BRAC2_vertLA_1st300;Consents given;exp done;demographics done;BRAC2_horiAA_1st300;2;1;4;Screen 5;Zone1;timelimit_screen;2500;;;;0;1;0;;;1;;;training;;;;;;blackblackhori.png;blackblackhori6.png;;;;L;vertLA.png;;;;black;black;hori;6;parity;;;;1
