Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-7y1f;checkpoint-fqea;Question Key;Response
1;1590824970758;30/05/2020 07:49:30;1590824972003;1;30/05/2020 08:49:32;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1536x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;BEGIN QUESTIONNAIRE;
2;1590825017016;30/05/2020 07:50:17;1590825018292;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;sex;female
3;1590825017110;30/05/2020 07:50:17;1590825018293;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;sex-quantised;2
4;1590825017110;30/05/2020 07:50:17;1590825018293;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;age;24
5;1590825017110;30/05/2020 07:50:17;1590825018293;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;response-2;right-handed
6;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;response-2-quantised;1
7;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;response-2-text;
8;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;response-3;Portuguese
9;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;country;Portugal
10;1590825017110;30/05/2020 07:50:17;1590825018294;1;30/05/2020 08:50:18;18755;2;questionnaire-89vf;;5216377;5e43c6cf19962223d3d92d5c;1473552;;complete;;5ed20a4824c7ae000d7aa3bc;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x722;after demographic;demographic;4;BRAC1_vertAL_1st0;after consent;after demographic;Task done;education;Master degree
