"";"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"response-2";"response-3";"comment"
"1";"5a622b2d13898300014b20d6";0;"BRAC1_vertLL_1st300";"";NA;NA;"27";"female";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";""
"2";"5babd4285f26f10001b17c60";0;"BRAC1_horiAA_1st0";"";NA;NA;"32";"female";"Spain";"Bachelor degree";"right-handed";"Spanish";""
"3";"5c555762dab99000015b8f12";0;"BRAC1_horiLL_1st300";"saw cue for 316 ms 432 times; saw fixation for 1416 ms for 175 times; probably refresh rate issue";NA;"did 57 errors";"26";"female";"United Kingdom";"Master degree";"right-handed";"English";""
"4";"5c636850bad3560001c2749e";0;"BRAC1_vertLL_1st300";"";NA;NA;"";"male";"Estonia";"Some university/higher education but no degree";"right-handed";"";""
"5";"5c90f5eae2d9fb0011385c58";0;"BRAC1_horiLL_1st0";"";NA;NA;"23";"female";"Estonia";"Bachelor degree";"right-handed";"Estonian";""
"6";"5d12020e90265e00199ba8a9";0;"BRAC1_vertLA_1st0";"";NA;NA;"25";"female";"Portugal";"Master degree";"right-handed";"portuguese";""
"7";"5d3848f6b7bcbd000114235f";0;"BRAC1_horiAL_1st0";"";NA;NA;"21";"female";"Wales";"Some university/higher education but no degree";"right-handed";"English";""
"8";"5dde6acfcaee3edc541ad36b";0;"BRAC1_horiAL_1st300";"";NA;NA;"32";"male";"Italy";"Some university/higher education but no degree";"right-handed";"Italian";""
"9";"5e0e52b46e96ba000b2441d5";0;"BRAC1_vertAL_1st300";"";NA;NA;"30";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";""
"10";"5e217a34e8ff3a469b5dfebc";0;"BRAC1_vertLA_1st0";"4 times cue lasted 316 or 334 ms";NA;"did 58 errors";"";"female";"USA";"Some university/higher education but no degree";"right-handed";"English";""
"11";"5e3e25c6f2160b0a292a1b3d";0;"BRAC1_vertAA_1st300";"";NA;NA;"twenty one years old";"male";"Portugal";"High school diploma";"right-handed";"Portuguese";"Funny study"
"12";"5e43c6cf19962223d3d92d5c";0;"BRAC1_vertAL_1st0";"";NA;NA;"24";"female";"Portugal";"Master degree";"right-handed";"Portuguese";""
"13";"5e6babd0d0031115b8a7bbbf";0;"BRAC1_horiLA_1st300";"";NA;NA;"24";"female";"Australia";"Bachelor degree";"right-handed";"English";""
"14";"5e863f9665bc760e939bae12";1;"BRAC1_horiAA_1st0";"";NA;"for making did 129 errors";"32";"female";"england";"Bachelor degree";"right-handed";"polish";""
"15";"5eabe11e57f54b1d4b51c985";0;"BRAC1_horiLA_1st300";"screen height was 427 while the min necessary is 648";"took 335.75 minutes to complete the experiment.";NA;"27";"female";"";"Bachelor degree";"right-handed";"English";""
"16";"5eb01d08992e0b07e03b19c2";0;"BRAC1_horiAL_1st300";"";NA;NA;"19";"male";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";""
"17";"5eb185511f2ed228a7d73436";0;"BRAC1_vertLA_1st300";"";NA;NA;"24";"male";"USA";"Bachelor degree";"right-handed";"English";""
"18";"5ebb1e0c11b78d0dcb01e82c";0;"BRAC1_horiLA_1st0";"";NA;NA;"27";"male";"United States";"Some university/higher education but no degree";"right-handed";"English";""
"19";"5ec37264194de71cb7b82637";0;"BRAC1_vertAA_1st0";"";NA;NA;"18";"female";"Canada";"Some high school but no diploma";"right-handed";"English";""
"20";"5ece67ec48f99322ae6d5ca3";0;"BRAC1_vertLL_1st0";"screen height was 614 while the min necessary is 648.";NA;NA;"29";"female";"Spain";"Master degree";"Other (please specify)";"Spanish";"My brain kept telling me that L was even an A odd, I had some difficulties with that. It would have been helpful being able to choose the meaning of each letter."
