"";"pp";"remove";"mapping";"message";"message2";"age";"sex";"country";"education";"response-2";"response-3";"psyKnowledge";"comment"
"1";"5a9bb11435237b0001129a35";0;"BRAC1_horiLL_1st300";"";NA;"21";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"2";"5c02a0089649f9000153798b";0;"BRAC1_vertAA_1st0";"";"did 64 errors";"23";"male";"Hungary";"Bachelor degree";"right-handed";"Hungary";"Not at all";""
"3";"5c55c7cb9b583c000159f790";1;"BRAC1_vertLA_1st300";"";"for making did 225 errors";"25";"female";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"4";"5ca073f0f9013f00169bea2b";1;"BRAC1_vertLA_1st300";"";"for making did 124 errors";"25";"female";"United Kingdom";"Bachelor degree";"right-handed";"english";"Not at all";""
"5";"5d0a1cd4561a350001d62ab3";0;"BRAC1_horiLA_1st300";"";"did 49 errors";"23";"male";"English";"Some university/higher education but no degree";"right-handed";"English";"Not at all";""
"6";"5d4a41890e604c00011ade8b";0;"BRAC1_vertLL_1st0";"";NA;"24";"male";"USA";"Bachelor degree";"right-handed";"English";"Not at all";""
"7";"5d81299125e6a40019e3c80d";0;"BRAC1_horiAL_1st0";"";NA;"33";"female";"france";"Master degree";"right-handed";"english";"Not at all";""
"8";"5e29b969130e4e000ca807eb";0;"BRAC1_horiLA_1st0";"";NA;"21";"female";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";""
"9";"5e815773285d3883ba2fbbcf";0;"BRAC1_horiAL_1st300";"";NA;"24";"male";"United States";"Master degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";"I received a minor in psychology in undergrad, not sure if you want to count that as a degree or just studied the discipline"
"10";"5e8dcc81e6686e035680594e";0;"BRAC1_horiLL_1st0";"";NA;"28";"female";"Poland";"Master degree";"left-handed";"Polish";"Not at all";"Very interesting study for me"
"11";"5e94f775cb8df5376b30b363";0;"BRAC1_horiLL_1st0";"";NA;"20";"male";"Poland";"Some high school but no diploma";"right-handed";"Polish";NA;""
"12";"5ec040acbd55a509d7179ccd";0;"BRAC1_vertAL_1st300";"";NA;"23";"male";"Mexico";"Some university/higher education but no degree";"right-handed";"Spanish";"Some knowledge as amateur";"I enjoyed the test, but my eyes hurt after staring at a white screen for a long time"
"13";"5ec65c58dba65c0177c434fe";0;"BRAC1_vertAA_1st300";"";NA;"18";"male";"Poland";"Some high school but no diploma";"right-handed";"Polish";"Not at all";"The most interesting study I've taken on Prolific so far :)"
"14";"5ec829e78fd0f02dab19a6b8";1;"BRAC1_vertLL_1st0";"";"for making did 101 errors";"19";"male";"Alabama";"High school diploma";"right-handed";"English";"Not at all";""
