,cuecolor,framecolor,orientation,stimulus,cueFileName,stimFileName,display,cocoa,cue0FileName
0,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,300,blackblackvert.png
1,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,300,blackblackvert.png
2,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,300,blackblackhori.png
3,blue,black,vert,3,blueblackvert.png,blueblackvert3.png,trial,300,blackblackvert.png
4,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,300,blackblackhori.png
5,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,300,blackblackhori.png
6,red,black,vert,2,redblackvert.png,redblackvert2.png,trial,300,blackblackvert.png
7,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,300,blackblackvert.png
8,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,300,blackblackvert.png
9,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,300,blackblackvert.png
10,blue,black,hori,3,blueblackhori.png,blueblackhori3.png,trial,300,blackblackhori.png
11,blue,black,vert,1,blueblackvert.png,blueblackvert1.png,trial,300,blackblackvert.png
12,blue,black,hori,2,blueblackhori.png,blueblackhori2.png,trial,300,blackblackhori.png
13,blue,black,hori,7,blueblackhori.png,blueblackhori7.png,trial,300,blackblackhori.png
14,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,300,blackblackvert.png
15,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,300,blackblackhori.png
16,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,300,blackblackhori.png
17,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,300,blackblackhori.png
18,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,300,blackblackhori.png
19,blue,black,vert,4,blueblackvert.png,blueblackvert4.png,trial,300,blackblackvert.png
20,red,black,hori,1,redblackhori.png,redblackhori1.png,trial,300,blackblackhori.png
21,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,300,blackblackvert.png
22,red,black,hori,8,redblackhori.png,redblackhori8.png,trial,300,blackblackhori.png
23,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,300,blackblackhori.png
24,blue,black,hori,9,blueblackhori.png,blueblackhori9.png,trial,300,blackblackhori.png
25,red,black,hori,6,redblackhori.png,redblackhori6.png,trial,300,blackblackhori.png
26,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,300,blackblackhori.png
27,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,300,blackblackvert.png
28,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,300,blackblackhori.png
29,red,black,vert,6,redblackvert.png,redblackvert6.png,trial,300,blackblackvert.png
30,red,black,hori,9,redblackhori.png,redblackhori9.png,trial,300,blackblackhori.png
31,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,300,blackblackvert.png
32,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,300,blackblackhori.png
33,blue,black,vert,2,blueblackvert.png,blueblackvert2.png,trial,300,blackblackvert.png
34,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
35,blue,black,hori,8,blueblackhori.png,blueblackhori8.png,trial,300,blackblackhori.png
36,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,300,blackblackhori.png
37,blue,black,vert,8,blueblackvert.png,blueblackvert8.png,trial,300,blackblackvert.png
38,blue,black,hori,1,blueblackhori.png,blueblackhori1.png,trial,300,blackblackhori.png
39,red,black,vert,4,redblackvert.png,redblackvert4.png,trial,300,blackblackvert.png
40,blue,black,vert,7,blueblackvert.png,blueblackvert7.png,trial,300,blackblackvert.png
41,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,300,blackblackvert.png
42,blue,black,vert,6,blueblackvert.png,blueblackvert6.png,trial,300,blackblackvert.png
43,red,black,hori,7,redblackhori.png,redblackhori7.png,trial,300,blackblackhori.png
44,red,black,hori,3,redblackhori.png,redblackhori3.png,trial,300,blackblackhori.png
45,red,black,hori,4,redblackhori.png,redblackhori4.png,trial,300,blackblackhori.png
46,red,black,vert,7,redblackvert.png,redblackvert7.png,trial,300,blackblackvert.png
47,blue,black,hori,4,blueblackhori.png,blueblackhori4.png,trial,300,blackblackhori.png
48,blue,black,hori,6,blueblackhori.png,blueblackhori6.png,trial,300,blackblackhori.png
49,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
50,red,black,vert,3,redblackvert.png,redblackvert3.png,trial,300,blackblackvert.png
51,red,black,vert,1,redblackvert.png,redblackvert1.png,trial,300,blackblackvert.png
