;display;magnMap;parMap;greatMap;lessMap;oddMap;evenMap;firstFig;secondFig;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER;cocoa;cue0FileName;blockN;trialN;breakMessage;mappingsGuide
0;Instructions;## When the rectangle is horizontal, your task is to tell whether the number is greater or less than 5.;## When the rectangle is vertical, your task is to tell whether the number is odd or even.;## Press L to indicate greater than 5.;## Press A to indicate less than 5.;## Press L to indicate odd.;## Press A to indicate even.;blackblackhori.png;blackblackvert.png;;;;;;;;;;;;;;horiLL.png
1;training;;;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;parity;A;;;;;;horiLL.png
2;training;;;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;parity;L;;;;;;horiLL.png
3;training;;;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;parity;A;;;;;;horiLL.png
4;training;;;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;parity;L;;;;;;horiLL.png
5;training;;;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;parity;A;;;;;;horiLL.png
6;training;;;;;;;;;black;black;hori;3;blackblackhori.png;blackblackhori3.png;magnit;A;;;;;;horiLL.png
7;training;;;;;;;;;black;black;hori;9;blackblackhori.png;blackblackhori9.png;magnit;L;;;;;;horiLL.png
8;training;;;;;;;;;black;black;hori;2;blackblackhori.png;blackblackhori2.png;magnit;A;;;;;;horiLL.png
9;training;;;;;;;;;black;black;hori;8;blackblackhori.png;blackblackhori8.png;magnit;L;;;;;;horiLL.png
10;training;;;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;parity;L;;;;;;horiLL.png
11;training;;;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;parity;L;;;;;;horiLL.png
12;training;;;;;;;;;black;black;hori;4;blackblackhori.png;blackblackhori4.png;magnit;A;;;;;;horiLL.png
13;training;;;;;;;;;black;black;hori;7;blackblackhori.png;blackblackhori7.png;magnit;L;;;;;;horiLL.png
14;training;;;;;;;;;black;black;hori;6;blackblackhori.png;blackblackhori6.png;magnit;L;;;;;;horiLL.png
15;training;;;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;parity;A;;;;;;horiLL.png
16;training;;;;;;;;;black;black;hori;1;blackblackhori.png;blackblackhori1.png;magnit;A;;;;;;horiLL.png
17;start;;;;;;;;;;;;;;;;;;;;;;horiLL.png
18;trial;;;;;;;;;black;red;hori;4;blackredhori.png;blackredhori4.png;magnit;A;0;blackredhori.png;0.0;0.0;;horiLL.png
19;trial;;;;;;;;;black;red;vert;6;blackredvert.png;blackredvert6.png;parity;A;0;blackredvert.png;0.0;1.0;;horiLL.png
20;trial;;;;;;;;;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;parity;A;0;blackbluevert.png;0.0;2.0;;horiLL.png
21;trial;;;;;;;;;black;red;vert;3;blackredvert.png;blackredvert3.png;parity;L;0;blackredvert.png;0.0;3.0;;horiLL.png
22;trial;;;;;;;;;black;red;vert;2;blackredvert.png;blackredvert2.png;parity;A;0;blackredvert.png;0.0;4.0;;horiLL.png
23;trial;;;;;;;;;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;parity;L;0;blackbluevert.png;0.0;5.0;;horiLL.png
24;trial;;;;;;;;;black;red;hori;4;blackredhori.png;blackredhori4.png;magnit;A;0;blackredhori.png;0.0;6.0;;horiLL.png
25;trial;;;;;;;;;black;red;hori;7;blackredhori.png;blackredhori7.png;magnit;L;0;blackredhori.png;0.0;7.0;;horiLL.png
26;trial;;;;;;;;;black;red;hori;3;blackredhori.png;blackredhori3.png;magnit;A;0;blackredhori.png;0.0;8.0;;horiLL.png
27;trial;;;;;;;;;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;parity;L;0;blackbluevert.png;0.0;9.0;;horiLL.png
28;trial;;;;;;;;;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;magnit;A;0;blackbluehori.png;0.0;10.0;;horiLL.png
29;trial;;;;;;;;;black;red;hori;9;blackredhori.png;blackredhori9.png;magnit;L;0;blackredhori.png;0.0;11.0;;horiLL.png
30;trial;;;;;;;;;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;magnit;L;0;blackbluehori.png;0.0;12.0;;horiLL.png
31;trial;;;;;;;;;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;magnit;A;0;blackbluehori.png;0.0;13.0;;horiLL.png
32;trial;;;;;;;;;black;red;vert;9;blackredvert.png;blackredvert9.png;parity;L;0;blackredvert.png;0.0;14.0;;horiLL.png
33;trial;;;;;;;;;black;red;vert;7;blackredvert.png;blackredvert7.png;parity;L;0;blackredvert.png;0.0;15.0;;horiLL.png
34;trial;;;;;;;;;black;red;hori;1;blackredhori.png;blackredhori1.png;magnit;A;0;blackredhori.png;0.0;16.0;;horiLL.png
35;trial;;;;;;;;;black;red;vert;6;blackredvert.png;blackredvert6.png;parity;A;0;blackredvert.png;0.0;17.0;;horiLL.png
36;trial;;;;;;;;;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;magnit;A;0;blackbluehori.png;0.0;18.0;;horiLL.png
37;trial;;;;;;;;;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;parity;L;0;blackbluevert.png;0.0;19.0;;horiLL.png
38;trial;;;;;;;;;black;red;vert;1;blackredvert.png;blackredvert1.png;parity;L;0;blackredvert.png;0.0;20.0;;horiLL.png
39;trial;;;;;;;;;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;magnit;L;0;blackbluehori.png;0.0;21.0;;horiLL.png
40;trial;;;;;;;;;black;red;vert;3;blackredvert.png;blackredvert3.png;parity;L;0;blackredvert.png;0.0;22.0;;horiLL.png
41;trial;;;;;;;;;black;red;vert;8;blackredvert.png;blackredvert8.png;parity;A;0;blackredvert.png;0.0;23.0;;horiLL.png
42;trial;;;;;;;;;black;red;hori;1;blackredhori.png;blackredhori1.png;magnit;A;0;blackredhori.png;0.0;24.0;;horiLL.png
43;trial;;;;;;;;;black;red;vert;2;blackredvert.png;blackredvert2.png;parity;A;0;blackredvert.png;0.0;25.0;;horiLL.png
44;trial;;;;;;;;;black;red;vert;9;blackredvert.png;blackredvert9.png;parity;L;0;blackredvert.png;0.0;26.0;;horiLL.png
45;trial;;;;;;;;;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;magnit;A;0;blackbluehori.png;0.0;27.0;;horiLL.png
46;trial;;;;;;;;;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;parity;L;0;blackbluevert.png;0.0;28.0;;horiLL.png
