display;horiMap;verMap;greatMap;lessMap;oddMap;evenMap;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;task;ANSWER
Instructions;When the rectangle is horizontal, your task is to tell whether the number is odd or even.;When the rectangle is vertical, your task is to tell whether the number is greater or less than 5.;Press A to indicate greater than 5.;Press L to indicate less than 5.;Press L to indicate odd.;Press A to indicate even.;;;;;;;;
training;;;;;;;black;black;horiz;7;blackblackhoriz.png;blackblackhoriz7.png;parity;L
training;;;;;;;black;black;vert;2;blackblackvert.png;blackblackvert2.png;magnit;L
training;;;;;;;black;black;vert;7;blackblackvert.png;blackblackvert7.png;magnit;A
training;;;;;;;black;black;vert;8;blackblackvert.png;blackblackvert8.png;magnit;A
training;;;;;;;black;black;horiz;2;blackblackhoriz.png;blackblackhoriz2.png;parity;A
training;;;;;;;black;black;horiz;3;blackblackhoriz.png;blackblackhoriz3.png;parity;L
training;;;;;;;black;black;horiz;9;blackblackhoriz.png;blackblackhoriz9.png;parity;L
training;;;;;;;black;black;vert;6;blackblackvert.png;blackblackvert6.png;magnit;A
training;;;;;;;black;black;vert;9;blackblackvert.png;blackblackvert9.png;magnit;A
training;;;;;;;black;black;horiz;4;blackblackhoriz.png;blackblackhoriz4.png;parity;A
training;;;;;;;black;black;horiz;8;blackblackhoriz.png;blackblackhoriz8.png;parity;A
training;;;;;;;black;black;vert;4;blackblackvert.png;blackblackvert4.png;magnit;L
training;;;;;;;black;black;horiz;1;blackblackhoriz.png;blackblackhoriz1.png;parity;L
training;;;;;;;black;black;vert;3;blackblackvert.png;blackblackvert3.png;magnit;L
training;;;;;;;black;black;horiz;6;blackblackhoriz.png;blackblackhoriz6.png;parity;A
training;;;;;;;black;black;vert;1;blackblackvert.png;blackblackvert1.png;magnit;L
