"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"exp";"1 143";"0.01";"0.00";"<.001";".977"
"task_R";"1 143";"0.00";"91.21";".389";"<.001"
"exp:task_R";"1 143";"0.00";"1.00";".007";".318"
"context_R";"1 143";"0.00";"0.10";"<.001";".751"
"exp:context_R";"1 143";"0.00";"4.25";".029";".041"
"cocoa";"1 143";"0.00";"2.28";".016";".133"
"exp:cocoa";"1 143";"0.00";"1.06";".007";".304"
"task_R:context_R";"1 143";"0.00";"1.12";".008";".291"
"exp:task_R:context_R";"1 143";"0.00";"0.03";"<.001";".871"
"task_R:cocoa";"1 143";"0.00";"0.07";"<.001";".790"
"exp:task_R:cocoa";"1 143";"0.00";"2.18";".015";".142"
"context_R:cocoa";"1 143";"0.00";"0.20";".001";".651"
"exp:context_R:cocoa";"1 143";"0.00";"1.38";".010";".242"
"task_R:context_R:cocoa";"1 143";"0.00";"3.04";".021";".084"
"exp:task_R:context_R:cocoa";"1 143";"0.00";"0.00";"<.001";".980"
