"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"exp";"1 143";"224276.48";"3.30";".023";".071"
"task_R";"1 143";"12509.13";"252.25";".638";"<.001"
"exp:task_R";"1 143";"12509.13";"0.07";"<.001";".788"
"context_R";"1 143";"2459.11";"13.67";".087";"<.001"
"exp:context_R";"1 143";"2459.11";"2.81";".019";".096"
"cocoa";"1 143";"15346.54";"0.19";".001";".665"
"exp:cocoa";"1 143";"15346.54";"0.96";".007";".328"
"task_R:context_R";"1 143";"2007.30";"6.01";".040";".015"
"exp:task_R:context_R";"1 143";"2007.30";"0.12";"<.001";".725"
"task_R:cocoa";"1 143";"3500.25";"0.18";".001";".673"
"exp:task_R:cocoa";"1 143";"3500.25";"0.63";".004";".429"
"context_R:cocoa";"1 143";"2263.58";"0.00";"<.001";".982"
"exp:context_R:cocoa";"1 143";"2263.58";"2.59";".018";".110"
"task_R:context_R:cocoa";"1 143";"2764.09";"0.57";".004";".452"
"exp:task_R:context_R:cocoa";"1 143";"2764.09";"3.19";".022";".076"
