"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"exp";"1 247";"442520.60";"0.74";".003";".392"
"task";"1 247";"24843.60";"411.23";".625";"<.001"
"exp x task";"1 247";"24843.60";"0.00";"<.001";".958"
"resp";"1 247";"7339.03";"9.52";".037";".002"
"exp x resp";"1 247";"7339.03";"2.46";".010";".118"
"context";"1 247";"5050.43";"24.56";".090";"<.001"
"exp x context";"1 247";"5050.43";"1.11";".004";".293"
"cocoa";"1 247";"26435.15";"0.14";"<.001";".710"
"exp x cocoa";"1 247";"26435.15";"0.78";".003";".379"
"task x resp";"1 247";"5823.71";"59.71";".195";"<.001"
"exp x task x resp";"1 247";"5823.71";"3.79";".015";".053"
"task x context";"1 247";"4627.63";"5.91";".023";".016"
"exp x task x context";"1 247";"4627.63";"0.04";"<.001";".834"
"resp x context";"1 247";"4938.44";"0.01";"<.001";".934"
"exp x resp x context";"1 247";"4938.44";"6.65";".026";".010"
"task x cocoa";"1 247";"7111.68";"0.05";"<.001";".828"
"exp x task x cocoa";"1 247";"7111.68";"0.26";".001";".609"
"resp x cocoa";"1 247";"5138.03";"0.01";"<.001";".927"
"exp x resp x cocoa";"1 247";"5138.03";"2.52";".010";".113"
"context x cocoa";"1 247";"4592.22";"0.17";"<.001";".679"
"exp x context x cocoa";"1 247";"4592.22";"1.47";".006";".227"
"task x resp x context";"1 247";"4547.64";"1.69";".007";".195"
"exp x task x resp x context";"1 247";"4547.64";"3.01";".012";".084"
"task x resp x cocoa";"1 247";"5682.43";"0.81";".003";".370"
"exp x task x resp x cocoa";"1 247";"5682.43";"4.53";".018";".034"
"task x context x cocoa";"1 247";"5138.76";"4.20";".017";".042"
"exp x task x context x cocoa";"1 247";"5138.76";"2.88";".012";".091"
"resp x context x cocoa";"1 247";"4182.79";"0.26";".001";".609"
"exp x resp x context x cocoa";"1 247";"4182.79";"0.03";"<.001";".867"
"task x resp x context x cocoa";"1 247";"4630.13";"0.07";"<.001";".788"
"exp x task x resp x context x cocoa";"1 247";"4630.13";"0.15";"<.001";".696"
