"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"exp";"1 247";"0.02";"0.02";"<.001";".890"
"task";"1 247";"0.00";"128.43";".342";"<.001"
"exp x task";"1 247";"0.00";"0.16";"<.001";".688"
"resp";"1 247";"0.00";"133.91";".352";"<.001"
"exp x resp";"1 247";"0.00";"0.58";".002";".446"
"context";"1 247";"0.00";"0.94";".004";".333"
"exp x context";"1 247";"0.00";"5.46";".022";".020"
"cocoa";"1 247";"0.00";"1.16";".005";".282"
"exp x cocoa";"1 247";"0.00";"0.00";"<.001";".950"
"task x resp";"1 247";"0.00";"55.28";".183";"<.001"
"exp x task x resp";"1 247";"0.00";"0.78";".003";".377"
"task x context";"1 247";"0.00";"2.89";".012";".090"
"exp x task x context";"1 247";"0.00";"1.11";".004";".293"
"resp x context";"1 247";"0.00";"0.23";"<.001";".629"
"exp x resp x context";"1 247";"0.00";"0.04";"<.001";".848"
"task x cocoa";"1 247";"0.00";"0.08";"<.001";".778"
"exp x task x cocoa";"1 247";"0.00";"4.62";".018";".032"
"resp x cocoa";"1 247";"0.00";"0.73";".003";".395"
"exp x resp x cocoa";"1 247";"0.00";"3.38";".013";".067"
"context x cocoa";"1 247";"0.00";"0.01";"<.001";".938"
"exp x context x cocoa";"1 247";"0.00";"0.16";"<.001";".686"
"task x resp x context";"1 247";"0.00";"0.91";".004";".341"
"exp x task x resp x context";"1 247";"0.00";"1.58";".006";".210"
"task x resp x cocoa";"1 247";"0.00";"3.33";".013";".069"
"exp x task x resp x cocoa";"1 247";"0.00";"0.00";"<.001";".952"
"task x context x cocoa";"1 247";"0.00";"1.00";".004";".318"
"exp x task x context x cocoa";"1 247";"0.00";"0.10";"<.001";".753"
"resp x context x cocoa";"1 247";"0.00";"7.37";".029";".007"
"exp x resp x context x cocoa";"1 247";"0.00";"0.02";"<.001";".887"
"task x resp x context x cocoa";"1 247";"0.00";"0.78";".003";".379"
"exp x task x resp x context x cocoa";"1 247";"0.00";"0.06";"<.001";".814"
