"";"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2,734;0,135;-20,217;0,065;"< .001"
"task_R1";0,491;0,126;3,91;1,634;"< .001"
"ANSWER_R1";-0,056;0,098;-0,577;0,945;"0.564"
"expBRAC2";-0,259;0,181;-1,432;0,772;"0.152"
"cocoa300";0,185;0,114;1,622;1,204;"0.105"
"context_R1";0,041;0,127;0,323;1,042;"0.747"
"task_R1:ANSWER_R1";-0,361;0,119;-3,041;0,697;"< .01"
"task_R1:expBRAC2";0,113;0,173;0,654;1,12;"0.513"
"ANSWER_R1:expBRAC2";-0,066;0,128;-0,513;0,937;"0.608"
"task_R1:cocoa300";0,064;0,142;0,451;1,066;"0.652"
"expBRAC2:cocoa300";0,071;0,155;0,456;1,073;"0.648"
"ANSWER_R1:context_R1";-0,055;0,084;-0,651;0,947;"0.515"
"cocoa300:context_R1";-0,262;0,151;-1,735;0,77;"0.083"
"expBRAC2:context_R1";0,258;0,155;1,662;1,295;"0.096"
"task_R1:context_R1";-0,097;0,147;-0,659;0,908;"0.51"
"task_R1:ANSWER_R1:expBRAC2";0,222;0,17;1,31;1,249;"0.19"
"task_R1:expBRAC2:cocoa300";-0,224;0,169;-1,328;0,799;"0.184"
"expBRAC2:cocoa300:context_R1";0,206;0,167;1,229;1,228;"0.219"
"task_R1:expBRAC2:context_R1";-0,205;0,169;-1,214;0,815;"0.225"
"task_R1:cocoa300:context_R1";0,113;0,169;0,67;1,12;"0.503"
