"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2.528;0.457;-5.532;0.08;"< .001"
"task_R1";0.494;0.129;3.84;1.638;"< .001"
"ANSWER_R1";-0.364;0.144;-2.529;0.695;"< .05"
"context_R1";-0.098;0.15;-0.653;0.907;"0.514"
"cocoa300";-0.268;0.155;-1.735;0.765;"0.083"
"expBRAC2";-0.028;0.175;-0.16;0.972;"0.873"
"blockNum";-0.24;0.015;-15.72;0.787;"< .001"
"sexmale";0.144;0.098;1.462;1.155;"0.144"
"Participant.BrowserSafari";-0.041;0.201;-0.202;0.96;"0.84"
"Participant.OSMacOs";0.256;0.423;0.607;1.292;"0.544"
"Participant.OSWindows";0.097;0.395;0.246;1.102;"0.806"
"handednessright-handed";-0.087;0.168;-0.518;0.917;"0.604"
"prolific1";0.001;0.133;0.005;1.001;"0.996"
"respRepetitions";0.059;0.05;1.189;1.061;"0.234"
"task_R1:ANSWER_R1";-0.133;0.188;-0.71;0.875;"0.478"
"task_R1:context_R1";-0.02;0.187;-0.106;0.98;"0.916"
"ANSWER_R1:context_R1";0.254;0.205;1.237;1.289;"0.216"
"task_R1:cocoa300";0.258;0.189;1.367;1.294;"0.172"
"ANSWER_R1:cocoa300";0.548;0.206;2.657;1.73;"< .01"
"context_R1:cocoa300";0.205;0.217;0.942;1.227;"0.346"
"task_R1:expBRAC2";-0.008;0.186;-0.046;0.992;"0.964"
"ANSWER_R1:expBRAC2";-0.106;0.21;-0.506;0.899;"0.613"
"context_R1:expBRAC2";0.029;0.212;0.137;1.029;"0.891"
"cocoa300:expBRAC2";0.176;0.218;0.808;1.193;"0.419"
"task_R1:ANSWER_R1:context_R1";-0.304;0.273;-1.114;0.738;"0.265"
"task_R1:ANSWER_R1:cocoa300";-0.502;0.268;-1.87;0.605;"0.061"
"task_R1:context_R1:cocoa300";-0.067;0.267;-0.25;0.936;"0.803"
"ANSWER_R1:context_R1:cocoa300";-0.699;0.292;-2.395;0.497;"< .05"
"task_R1:ANSWER_R1:expBRAC2";0.147;0.271;0.542;1.158;"0.588"
"task_R1:context_R1:expBRAC2";-0.082;0.265;-0.308;0.922;"0.758"
"ANSWER_R1:context_R1:expBRAC2";0.089;0.29;0.307;1.093;"0.759"
"task_R1:cocoa300:expBRAC2";-0.246;0.268;-0.919;0.782;"0.358"
"ANSWER_R1:cocoa300:expBRAC2";-0.033;0.293;-0.112;0.968;"0.911"
"context_R1:cocoa300:expBRAC2";0.18;0.299;0.601;1.197;"0.548"
"task_R1:ANSWER_R1:context_R1:cocoa300";0.59;0.384;1.534;1.804;"0.125"
"task_R1:ANSWER_R1:context_R1:expBRAC2";0.128;0.383;0.334;1.136;"0.738"
"task_R1:ANSWER_R1:cocoa300:expBRAC2";0.047;0.38;0.124;1.048;"0.901"
"task_R1:context_R1:cocoa300:expBRAC2";0.03;0.372;0.081;1.031;"0.935"
"ANSWER_R1:context_R1:cocoa300:expBRAC2";-0.047;0.403;-0.117;0.954;"0.907"
"task_R1:ANSWER_R1:context_R1:cocoa300:expBRAC2";-0.17;0.532;-0.319;0.844;"0.749"
