"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"version";"1 121";"267885.79";"1.13";".009";".290"
"task";"1 121";"15998.48";"122.37";".503";"<.001"
"version x task";"1 121";"15998.48";"0.11";"<.001";".746"
"resp";"1 121";"5653.00";"1.66";".014";".200"
"version x resp";"1 121";"5653.00";"0.71";".006";".403"
"context";"1 121";"4548.76";"1.46";".012";".229"
"version x context";"1 121";"4548.76";"0.07";"<.001";".789"
"task x resp";"1 121";"5368.25";"11.92";".090";"<.001"
"version x task x resp";"1 121";"5368.25";"0.66";".005";".417"
"task x context";"1 121";"4508.09";"0.42";".003";".520"
"version x task x context";"1 121";"4508.09";"0.02";"<.001";".887"
"resp x context";"1 121";"4021.46";"0.00";"<.001";".967"
"version x resp x context";"1 121";"4021.46";"7.55";".059";".007"
"task x resp x context";"1 121";"5340.24";"2.13";".017";".147"
"version x task x resp x context";"1 121";"5340.24";"0.00";"<.001";".950"
