"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"version";"1 121";"0.01";"1.33";".011";".252"
"task";"1 121";"0.00";"24.02";".166";"<.001"
"version x task";"1 121";"0.00";"0.05";"<.001";".831"
"resp";"1 121";"0.00";"42.15";".258";"<.001"
"version x resp";"1 121";"0.00";"0.30";".002";".584"
"context";"1 121";"0.00";"3.26";".026";".073"
"version x context";"1 121";"0.00";"0.60";".005";".441"
"task x resp";"1 121";"0.00";"10.12";".077";".002"
"version x task x resp";"1 121";"0.00";"0.08";"<.001";".771"
"task x context";"1 121";"0.00";"0.27";".002";".602"
"version x task x context";"1 121";"0.00";"0.00";"<.001";".972"
"resp x context";"1 121";"0.00";"0.50";".004";".483"
"version x resp x context";"1 121";"0.00";"0.01";"<.001";".932"
"task x resp x context";"1 121";"0.00";"0.06";"<.001";".813"
"version x task x resp x context";"1 121";"0.00";"0.41";".003";".522"
