"task_R";"cocoa";"context_R";"ANSWER_R";"emmean";"SE";"df";"asymp.LCL";"asymp.UCL"
"0";"0";"0";"0";6.58291864574096;0.0996390298174991;Inf;6.38762973584415;6.77820755563777
"1";"0";"0";"0";6.75151830929585;0.0995836008703488;Inf;6.55633803813915;6.94669858045254
"0";"300";"0";"0";6.60057159128014;0.0997275728470883;Inf;6.40510914023425;6.79603404232602
"1";"300";"0";"0";6.7449189998725;0.0995705561186831;Inf;6.54976429595926;6.94007370378574
"0";"0";"1";"0";6.6371292682134;0.0997623157253612;Inf;6.44159872237737;6.83265981404942
"1";"0";"1";"0";6.73930252107688;0.0995957517442841;Inf;6.54409843464489;6.93450660750887
"0";"300";"1";"0";6.61230903697118;0.0995691432498545;Inf;6.41715710222995;6.8074609717124
"1";"300";"1";"0";6.76923304559;0.0995892128524426;Inf;6.57404177515052;6.96442431602948
"0";"0";"0";"1";6.6036635952665;0.0994472292558575;Inf;6.40875060756272;6.79857658297028
"1";"0";"0";"1";6.72897709738947;0.0995018557253326;Inf;6.53395704377292;6.92399715100603
"0";"300";"0";"1";6.61398156362884;0.0995284964958859;Inf;6.41890929506148;6.8090538321962
"1";"300";"0";"1";6.69051930576712;0.0996839340599972;Inf;6.49514238517226;6.88589622636198
"0";"0";"1";"1";6.64700527575134;0.0994729670815262;Inf;6.45204184283621;6.84196870866647
"1";"0";"1";"1";6.71248198190077;0.0995919163017814;Inf;6.51728541279795;6.90767855100359
"0";"300";"1";"1";6.59622960330864;0.0994633518130331;Inf;6.40128501597346;6.79117419064382
"1";"300";"1";"1";6.73430080793437;0.0995545856289027;Inf;6.53917740560591;6.92942421026282
