"Estimate";"Std. Error";"exp_Estimate";"t value";"Pr(>|t|)"
"(Intercept)";6.995;0.323;1091.705;21.663;"< .001"
"task_R1";0.161;0.013;1.175;12.123;"< .001"
"ANSWER_R1";0.022;0.013;1.023;1.781;"0.075"
"context_R1";0.031;0.014;1.031;2.22;"< .05"
"cocoa300";-0.008;0.014;0.992;-0.622;"0.534"
"blockNum";-0.055;0.002;0.946;-27.428;"< .001"
"sexmale";-0.119;0.052;0.888;-2.29;"< .05"
"Participant.BrowserSafari";0.19;0.126;1.209;1.506;"0.136"
"Participant.OSMacOs";-0.161;0.179;0.851;-0.899;"0.372"
"Participant.OSWindows";-0.096;0.151;0.909;-0.636;"0.527"
"handednessright-handed";0.116;0.108;1.123;1.073;"0.287"
"prolific1";0.107;0.069;1.112;1.549;"0.126"
"respRepetitions";-0.003;0.002;0.997;-1.674;"0.098"
"task_R1:ANSWER_R1";-0.065;0.018;0.938;-3.619;"< .001"
"task_R1:context_R1";-0.03;0.019;0.971;-1.568;"0.117"
"ANSWER_R1:context_R1";-0.009;0.018;0.991;-0.49;"0.624"
"task_R1:cocoa300";-0.013;0.019;0.988;-0.671;"0.502"
"ANSWER_R1:cocoa300";0.009;0.018;1.01;0.528;"0.598"
"context_R1:cocoa300";-0.005;0.019;0.995;-0.271;"0.786"
"task_R1:ANSWER_R1:context_R1";0.005;0.026;1.005;0.203;"0.839"
"task_R1:ANSWER_R1:cocoa300";-0.003;0.026;0.997;-0.117;"0.907"
"task_R1:context_R1:cocoa300";0.012;0.026;1.012;0.445;"0.657"
"ANSWER_R1:context_R1:cocoa300";-0.026;0.025;0.975;-1.003;"0.316"
"task_R1:ANSWER_R1:context_R1:cocoa300";0.032;0.036;1.033;0.893;"0.372"
