"";"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2,656;0,101;-26,218;0,07;"< .001"
"task_R1";0,553;0,114;4,852;1,738;"< .001"
"ANSWER_R1";-0,027;0,123;-0,22;0,973;"0.826"
"context_R1";0,035;0,145;0,241;1,036;"0.809"
"cocoa300";0,215;0,079;2,705;1,24;"< .01"
"task_R1:ANSWER_R1";-0,417;0,163;-2,561;0,659;"< .05"
"task_R1:context_R1";-0,111;0,164;-0,674;0,895;"0.5"
"ANSWER_R1:context_R1";-0,107;0,177;-0,602;0,899;"0.547"
"context_R1:cocoa300";-0,192;0,116;-1,658;0,825;"0.097"
"task_R1:ANSWER_R1:context_R1";0,138;0,236;0,583;1,148;"0.56"
