"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"version";"1 124";"0.02";"1.89";".015";".172"
"task";"1 124";"0.00";"56.13";".312";"<.001"
"version x task";"1 124";"0.00";"1.13";".009";".290"
"resp";"1 124";"0.00";"39.91";".243";"<.001"
"version x resp";"1 124";"0.00";"0.21";".002";".645"
"context";"1 124";"0.00";"0.16";".001";".691"
"version x context";"1 124";"0.00";"0.65";".005";".422"
"cocoa";"1 124";"0.00";"0.06";"<.001";".807"
"version x cocoa";"1 124";"0.00";"0.80";".006";".373"
"task x resp";"1 124";"0.00";"26.61";".177";"<.001"
"version x task x resp";"1 124";"0.00";"3.28";".026";".072"
"task x context";"1 124";"0.00";"3.06";".024";".083"
"version x task x context";"1 124";"0.00";"0.00";"<.001";".987"
"resp x context";"1 124";"0.00";"0.16";".001";".685"
"version x resp x context";"1 124";"0.00";"0.23";".002";".629"
"task x cocoa";"1 124";"0.00";"0.89";".007";".347"
"version x task x cocoa";"1 124";"0.00";"0.24";".002";".628"
"resp x cocoa";"1 124";"0.00";"0.01";"<.001";".918"
"version x resp x cocoa";"1 124";"0.00";"0.99";".008";".321"
"context x cocoa";"1 124";"0.00";"0.67";".005";".416"
"version x context x cocoa";"1 124";"0.00";"5.18";".040";".025"
"task x resp x context";"1 124";"0.00";"3.44";".027";".066"
"version x task x resp x context";"1 124";"0.00";"0.67";".005";".415"
"task x resp x cocoa";"1 124";"0.00";"0.16";".001";".694"
"version x task x resp x cocoa";"1 124";"0.00";"1.71";".014";".194"
"task x context x cocoa";"1 124";"0.00";"0.08";"<.001";".775"
"version x task x context x cocoa";"1 124";"0.00";"0.98";".008";".324"
"resp x context x cocoa";"1 124";"0.00";"1.51";".012";".222"
"version x resp x context x cocoa";"1 124";"0.00";"1.09";".009";".299"
"task x resp x context x cocoa";"1 124";"0.00";"0.12";"<.001";".733"
"version x task x resp x context x cocoa";"1 124";"0.00";"0.02";"<.001";".892"
