"";"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2,74;0,124;-22,137;0,065;"< .001"
"task_R1";0,508;0,083;6,152;1,661;"< .001"
"ANSWER_R1";-0,062;0,097;-0,636;0,94;"0.525"
"expBRAC2";-0,117;0,163;-0,72;0,889;"0.472"
"context_R";-0,021;0,093;-0,226;0,979;"0.821"
"cocoa300";0,222;0,08;2,785;1,249;"< .01"
"task_R1:ANSWER_R1";-0,363;0,119;-3,06;0,695;"< .01"
"task_R1:expBRAC2";-0,12;0,119;-1,006;0,887;"0.315"
"ANSWER_R1:expBRAC2";-0,07;0,128;-0,55;0,932;"0.582"
"ANSWER_R1:context_R";-0,039;0,083;-0,469;0,962;"0.639"
"context_R:cocoa300";-0,199;0,116;-1,708;0,82;"0.088"
"expBRAC2:context_R";0,136;0,121;1,116;1,145;"0.264"
"expBRAC2:cocoa300";-0,064;0,118;-0,542;0,938;"0.588"
"task_R1:ANSWER_R1:expBRAC2";0,228;0,17;1,341;1,255;"0.18"
"expBRAC2:context_R:cocoa300";0,215;0,167;1,288;1,24;"0.198"
