"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"version";"1 122";"527680.37";"1.99";".016";".160"
"task";"1 122";"25655.72";"161.30";".569";"<.001"
"version x task";"1 122";"25655.72";"0.61";".005";".435"
"resp";"1 122";"7991.83";"3.87";".031";".051"
"version x resp";"1 122";"7991.83";"4.09";".032";".045"
"context";"1 122";"4940.57";"8.02";".062";".005"
"version x context";"1 122";"4940.57";"0.32";".003";".570"
"cocoa";"1 122";"28043.39";"0.00";"<.001";".984"
"version x cocoa";"1 122";"28043.39";"0.93";".008";".336"
"task x resp";"1 122";"6094.23";"28.40";".189";"<.001"
"version x task x resp";"1 122";"6094.23";"1.81";".015";".181"
"task x context";"1 122";"4436.68";"2.83";".023";".095"
"version x task x context";"1 122";"4436.68";"0.03";"<.001";".854"
"resp x context";"1 122";"4996.61";"0.48";".004";".488"
"version x resp x context";"1 122";"4996.61";"2.59";".021";".110"
"task x cocoa";"1 122";"7174.86";"0.34";".003";".561"
"version x task x cocoa";"1 122";"7174.86";"0.69";".006";".407"
"resp x cocoa";"1 122";"5156.95";"0.23";".002";".629"
"version x resp x cocoa";"1 122";"5156.95";"1.47";".012";".227"
"context x cocoa";"1 122";"4504.79";"1.34";".011";".250"
"version x context x cocoa";"1 122";"4504.79";"0.09";"<.001";".762"
"task x resp x context";"1 122";"4936.59";"4.10";".032";".045"
"version x task x resp x context";"1 122";"4936.59";"0.19";".002";".665"
"task x resp x cocoa";"1 122";"5221.05";"0.52";".004";".473"
"version x task x resp x cocoa";"1 122";"5221.05";"0.04";"<.001";".839"
"task x context x cocoa";"1 122";"6213.61";"4.58";".036";".034"
"version x task x context x cocoa";"1 122";"6213.61";"0.01";"<.001";".939"
"resp x context x cocoa";"1 122";"4917.67";"0.25";".002";".618"
"version x resp x context x cocoa";"1 122";"4917.67";"4.18";".033";".043"
"task x resp x context x cocoa";"1 122";"5659.71";"0.00";"<.001";".978"
"version x task x resp x context x cocoa";"1 122";"5659.71";"0.16";".001";".688"
