"";"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"1";"59402f40e9b44100013b1789";"0";"BRAC2_horiAL_1st0";"";" has had 1 weird cue durations;";"";"28";"female";"Spain";"Bachelor degree";"right-handed";"Spanish";"Not at all";""
"2";"5a8e9c8ff1408d000176dae5";"1";"BRAC2_horiLA_1st300";"";" has had 697 weird cue durations;";"";"22";"female";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"Not at all";""
"3";"5acc3c34fa3b4e000173c659";"0";"BRAC2_vertLA_1st300";"";"";"";"27";"female";"Canada";"Master degree";"right-handed";"French";"I've studied at least one of these disciplines (school or university)";""
"4";"5bdc5f362562330001b8e622";"0";"BRAC2_horiAA_1st0";"";"";"";"34";"male";"Portugal";"Some university/higher education but no degree";"left-handed";"Portuguese (PT)";"Not at all";""
"5";"5bf5e55ebf67dc00015a2b3f";"1";"BRAC2_vertAL_1st300";"";"";"did 162 errors; ";"23";"male";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Not at all";""
"6";"5c06a957adacd70001f57289";"0";"BRAC2_vertLL_1st300";"";"";"";"";"male";"Hungary";"Master degree";"right-handed";"Hungarian";"Not at all";""
"7";"5c5177a1f5ef110001ecfdee";"0";"BRAC2_horiAA_1st0";"";"";"";"24";"male";"Northern Ireland";"Bachelor degree";"right-handed";"English";"Some knowledge as amateur";"An enjoyable experiment, though of course, annoying when I realised I'd hit the wrong option each time! Thank you!"
"8";"5ccc7f5164da9300186d7ae0";"0";"BRAC2_horiAL_1st300";"";" has had 2 weird cue durations;";"did 57 errors; ";"";"male";"España";"Some university/higher education but no degree";"right-handed";"Spanish";"Not at all";""
"9";"5cd422b7e62009001b03f107";"0";"BRAC2_horiLL_1st300";"";"";"";"19";"male";"Poland";"High school diploma";"left-handed";"polish";"Not at all";""
"10";"5cdd7d9f83e768001952c3d6";"0";"BRAC2_vertLA_1st0";"";"";"did 50 errors; ";"25";"male";"Poland";"Bachelor degree";"right-handed";"Polish";"Not at all";""
"11";"5d0a9e4590da3200177ca97c";"0";"BRAC2_horiAA_1st300";"";"";"";"22";"male";"United Kingdom";"Bachelor degree";"right-handed";"English";"Some knowledge as amateur";"Took me a while to get that greater was on the left and not the right"
"12";"5d1cfc4ee950480015366f7b";"0";"BRAC2_horiLL_1st0";"";"";"did 57 errors; ";"21";"female";"poland";"Some university/higher education but no degree";"right-handed";"polish";"Some knowledge as amateur";""
"13";"5d716715d1e5b80015d63d2e";"1";"BRAC2_vertAL_1st0";"";"";"did 92 super fast responses; did 182 errors; ";"24";"female";"greece";"Bachelor degree";"left-handed";"greek";"Some knowledge as amateur";""
"14";"5d78e48415b10d00163c814e";"1";"BRAC2_horiAA_1st0";"";"";"did 47 super fast responses; did 210 errors; ";"20";"male";"Poland";"High school diploma";"right-handed";"Polish";"Not at all";""
"15";"5de66395047da35de324deed";"0";"BRAC2_horiAL_1st300";"";"";"";"21";"male";"Portugal";"Some university/higher education but no degree";"left-handed";"Portuguese";"Not at all";""
"16";"5e187a5c5b1c5914a9cf41f3";"0";"BRAC2_horiLL_1st300";"";"has had 2 weird fixations durations;";"did 50 errors; ";"19";"male";"Spain";"Bachelor degree";"right-handed";"Spanish";"Some knowledge as amateur";""
"17";"5e2d8e0accad9c386b566154";"1";"BRAC2_horiAA_1st300";"";"has had 2 weird fixations durations; has had 2 weird cue durations;";"did 160 super fast responses; did 42 very slow responses; did 275 errors; ";"27";"male";"Poland";"Master degree";"right-handed";"Poland";"I've studied at least one of these disciplines (school or university)";""
"18";"5e44728e77958e2f1b9c3e2b";"0";"BRAC2_horiLL_1st0";"";"";"did 71 very slow responses; did 76 errors; ";"19";"female";"England";"Some university/higher education but no degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";""
"19";"5e53d2941b233d02960a0dde";"0";"BRAC2_horiLA_1st0";"";"";"";"18";"female";"Netherlands";"High school diploma";"right-handed";"Dutch";"Not at all";""
"20";"5e5c993cd0394c474f7cc502";"0";"BRAC2_vertAA_1st300";"";"";"";"23";"male";"Mexico";"Bachelor degree";"right-handed";"Spanish";"Some knowledge as amateur";""
"21";"5e6bcd93fa0d9e02a29d9de7";"1";"BRAC2_vertLL_1st300";"";"";"did 86 errors; ";"30";"male";"israel";"Bachelor degree";"right-handed";"hebrew";"Not at all";"i found it pretty annoying that i couldnt change the controls because they were quiet uncomfortable escpecially the l for odd numbers and a for even ones i would have preffered to flip them atleast or even change them completely to left and right mouse clicks or a and d "
"22";"5e6d5d899dae0e328cc4a169";"0";"BRAC2_vertAL_1st300";"";"";"";"19";"male";"Italy";"High school diploma";"right-handed";"Italian";"Not at all";""
"23";"5e7401e8a30c803808f1ce69";"0";"BRAC2_horiLA_1st0";"";"";"";"20";"male";"Mexico";"Some university/higher education but no degree";"right-handed";"Spanish";"Not at all";""
"24";"5e7e45b8f0320e0897cf5048";"0";"BRAC2_vertAA_1st300";"";"";"";"19";"male";"Portugal";"High school diploma";"left-handed";"Portuguese";"Not at all";""
