"";"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"1";"AE8";"0";"BRAC2_horiLA_1st300";"";" has had 1 weird cue durations;";"";"27";"female";"Germany";"Bachelor degree";"right-handed";"";"I've studied at least one of these disciplines (school or university)";""
"2";"JM0";"0";"BRAC2_horiLL_1st0";"";"";"";"32";"female";"Germany";"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"3";"MH1";"0";"BRAC2_horiAL_1st300";"";"";"";"19";"female";"Germany";"High school diploma";"right-handed";"German/Russian (bilingual childhood)";"Some knowledge as amateur";"Second Semester Psychology"
"4";"NY3";"0";"BRAC2_vertLA_1st300";"";NA;"";"24";"female";"Germany";"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";NA
"5";"PJ6";"0";"BRAC2_vertAA_1st300";"";"";"";"27";"female";"Germany";"Bachelor degree";"right-handed";"";"I've studied at least one of these disciplines (school or university)";""
"6";"PM1";"0";"BRAC2_horiAA_1st300";"";"has had 1 weird fixations durations;";"";"19";"female";"Germany";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
"7";"QN2";"0";"BRAC2_vertLA_1st300";"";"";"";"20";"I'd rather not say";"germany";"High school diploma";"right-handed";"german";"I've studied at least one of these disciplines (school or university)";""
"8";"SD0";"0";"BRAC2_vertAA_1st0";"";"";"";"20";"female";"Belgium";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
"9";"SF9";"0";"BRAC2_horiLL_1st300";"";"has had 1 weird fixations durations;";"did 67 errors; ";"21";"female";"Germany";"Some university/higher education but no degree";"right-handed";"german";"I've studied at least one of these disciplines (school or university)";""
"10";"VK1";"0";"BRAC2_vertLL_1st300";"";"";"did 40 errors; ";"22";"female";"Germany";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
