"";"pp";"remove";"mapping";"message";"message2";"age";"sex";"country";"education";"response-2";"response-3";"psyKnowledge";"comment"
"1";"GM4";0;"BRAC1_horiAL_1st0";"";"did 69 errors";"18";"female";"Germany";"High school diploma";"right-handed";"Kurdish";"Not at all";""
"2";"LU1";0;"BRAC1_vertLA_1st0";"";NA;"25";"male";"germany";"Bachelor degree";"right-handed";"chinese";"I've studied at least one of these disciplines (school or university)";""
"3";"LY8";0;"BRAC1_horiAA_1st0";"";NA;"22";"female";"Germany";"High school diploma";"right-handed";"german";"I've studied at least one of these disciplines (school or university)";""
"4";"NE3";0;"BRAC1_horiLA_1st0";"";NA;"19";"female";"Belgium";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
"5";"NW8";0;"BRAC1_vertAA_1st300";"";"did 42 very slow resp";"21";"female";"germany";"High school diploma";"right-handed";"german";"Some knowledge as amateur";""
"6";"TO3";1;"BRAC1_vertLL_1st300";"";"for having already taken part in BRAC lab version";"21";"female";"Germany";"High school diploma";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"7";"UG7";1;"BRAC1_vertAA_1st0";"screen height was 578 while the min necessary is 648";"108 very slow resp & did 114 errors & 93 miss";"24";"male";"Germany";"Some university/higher education but no degree";"left-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"8";"WI5";0;"BRAC1_horiAA_1st300";"screen height was 610 while the min necessary is 648";NA;"21";"female";"Germany";"High school diploma";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"9";"XL2";0;"BRAC1_vertLA_1st300";"screen height was 610 while the min necessary is 648";"did 45 errors";"18";"female";"Germany";"High school diploma";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"10";"YF1";0;"BRAC1_horiLA_1st300";"";NA;"20";"female";"Germany";"High school diploma";"right-handed";"german";"Some knowledge as amateur";""
