"task_R";"ANSWER_R";"context_R";"cocoa";"exp";"response"
"0";"0";"0";"0";"BRAC1";702.923484828097
"1";"0";"0";"0";"BRAC1";824.975274329477
"0";"1";"0";"0";"BRAC1";720.112922473104
"1";"1";"0";"0";"BRAC1";794.015969745686
"0";"0";"1";"0";"BRAC1";725.06259356834
"1";"0";"1";"0";"BRAC1";827.474919764034
"0";"1";"1";"0";"BRAC1";735.494587195638
"1";"1";"1";"0";"BRAC1";789.711748189478
"0";"0";"0";"300";"BRAC1";698.861464347768
"1";"0";"0";"300";"BRAC1";810.287460744025
"0";"1";"0";"300";"BRAC1";720.781057010874
"1";"1";"0";"300";"BRAC1";780.693835262552
"0";"0";"1";"300";"BRAC1";715.242304777992
"1";"0";"1";"300";"BRAC1";815.672117554518
"0";"1";"1";"300";"BRAC1";713.9333872705
"1";"1";"1";"300";"BRAC1";791.256595925126
"0";"0";"0";"0";"BRAC2";673.154435634637
"1";"0";"0";"0";"BRAC2";758.034137178007
"0";"1";"0";"0";"BRAC2";660.341372773612
"1";"1";"0";"0";"BRAC2";748.279174894785
"0";"0";"1";"0";"BRAC2";672.90819267886
"1";"0";"1";"0";"BRAC2";761.761163562692
"0";"1";"1";"0";"BRAC2";676.364299109107
"1";"1";"1";"0";"BRAC2";753.897509449992
"0";"0";"0";"300";"BRAC2";651.196389994806
"1";"0";"0";"300";"BRAC2";775.241083348852
"0";"1";"0";"300";"BRAC2";661.424715433232
"1";"1";"0";"300";"BRAC2";739.229825804355
"0";"0";"1";"300";"BRAC2";680.954022352262
"1";"0";"1";"300";"BRAC2";781.450966507758
"0";"1";"1";"300";"BRAC2";680.480820380541
"1";"1";"1";"300";"BRAC2";740.411622965926
