"task_R";"ANSWER_R";"context_R";"cocoa";"exp";"meanmeanerror";"n";"se"
"0";"0";"0";"0";"BRAC1";0.0713460295915994;71;0.00900533193777568
"1";"0";"0";"0";"BRAC1";0.105923982579442;71;0.00994977011434062
"0";"1";"0";"0";"BRAC1";0.0487641835954838;71;0.00598732247295215
"1";"1";"0";"0";"BRAC1";0.0674090795071854;71;0.00786723921113918
"0";"0";"1";"0";"BRAC1";0.0660952084926271;71;0.00830062053681042
"1";"0";"1";"0";"BRAC1";0.0964622877972541;71;0.00908143754672613
"0";"1";"1";"0";"BRAC1";0.0573889326175342;71;0.00665792212996816
"1";"1";"1";"0";"BRAC1";0.0576855342704916;71;0.00716541523337727
"0";"0";"0";"300";"BRAC1";0.0535452449385428;71;0.00702643743663517
"1";"0";"0";"300";"BRAC1";0.104983624785777;71;0.00949976469436988
"0";"1";"0";"300";"BRAC1";0.0647142277905449;71;0.00671113573649636
"1";"1";"0";"300";"BRAC1";0.0729666846366912;71;0.00874988002130721
"0";"0";"1";"300";"BRAC1";0.0589760538527589;71;0.00713277718311574
"1";"0";"1";"300";"BRAC1";0.107945439698718;71;0.0105404778482524
"0";"1";"1";"300";"BRAC1";0.0475074939227888;71;0.00563855941564097
"1";"1";"1";"300";"BRAC1";0.0622413094152225;71;0.00816235892946014
"0";"0";"0";"0";"BRAC2";0.0618547716996364;74;0.00772629642633979
"1";"0";"0";"0";"BRAC2";0.101830901603809;74;0.0111813634255371
"0";"1";"0";"0";"BRAC2";0.0412084536819696;74;0.00514438371795369
"1";"1";"0";"0";"BRAC2";0.0698576582566689;74;0.00862524984608356
"0";"0";"1";"0";"BRAC2";0.0631877930962599;74;0.00785845596251737
"1";"0";"1";"0";"BRAC2";0.086531890474919;74;0.00857508808298997
"0";"1";"1";"0";"BRAC2";0.0563178884864816;74;0.00688954491521683
"1";"1";"1";"0";"BRAC2";0.0676902060862287;74;0.00695785246124288
"0";"0";"0";"300";"BRAC2";0.0602433730723204;74;0.00799272408723104
"1";"0";"0";"300";"BRAC2";0.0968096294370657;74;0.00860720425951611
"0";"1";"0";"300";"BRAC2";0.0628361134549774;74;0.00631064268412262
"1";"1";"0";"300";"BRAC2";0.068164137659815;74;0.00734977986874858
"0";"0";"1";"300";"BRAC2";0.08248858502291;74;0.00807962583034277
"1";"0";"1";"300";"BRAC2";0.111826630413587;74;0.008814535270775
"0";"1";"1";"300";"BRAC2";0.0597230113927029;74;0.00644853061877435
"1";"1";"1";"300";"BRAC2";0.0699910136191995;74;0.00774722535384587
