"task_R";"ANSWER_R";"context_R";"cocoa";"exp";"meanmeanrt";"n";"se"
"0";"0";"0";"0";"BRAC1";760.302068783908;71;22.0291493513294
"1";"0";"0";"0";"BRAC1";910.25919966784;71;29.7665888490032
"0";"1";"0";"0";"BRAC1";775.194231535524;71;20.5031012000562
"1";"1";"0";"0";"BRAC1";863.190913991558;71;25.0889431717073
"0";"0";"1";"0";"BRAC1";793.830367479115;71;24.178695351573
"1";"0";"1";"0";"BRAC1";903.898262246333;71;28.3441505794246
"0";"1";"1";"0";"BRAC1";792.845633376799;71;22.6093431893011
"1";"1";"1";"0";"BRAC1";855.708528687539;71;25.3354764098822
"0";"0";"0";"300";"BRAC1";749.899042233475;71;22.2879267664947
"1";"0";"0";"300";"BRAC1";882.305778482734;71;26.3623534056338
"0";"1";"0";"300";"BRAC1";784.04599593935;71;22.7508249654234
"1";"1";"0";"300";"BRAC1";854.195264241904;71;27.5571891498997
"0";"0";"1";"300";"BRAC1";776.319445317106;71;24.2354201983698
"1";"0";"1";"300";"BRAC1";887.972197221911;71;27.4184452070286
"0";"1";"1";"300";"BRAC1";764.617380860738;71;21.950178802235
"1";"1";"1";"300";"BRAC1";856.415017461585;71;25.8883832592792
"0";"0";"0";"0";"BRAC2";717.674096190593;74;16.5811181550402
"1";"0";"0";"0";"BRAC2";829.355778021591;74;24.4642750525743
"0";"1";"0";"0";"BRAC2";711.118180945185;74;15.6292380275887
"1";"1";"0";"0";"BRAC2";818.248723086478;74;22.5061148682429
"0";"0";"1";"0";"BRAC2";727.054396957841;74;16.2164639358481
"1";"0";"1";"0";"BRAC2";827.388766259406;74;22.0556659143515
"0";"1";"1";"0";"BRAC2";735.745903101637;74;18.0292833241155
"1";"1";"1";"0";"BRAC2";825.323458112005;74;22.2877678465709
"0";"0";"0";"300";"BRAC2";702.492514077011;74;16.4230183772488
"1";"0";"0";"300";"BRAC2";846.047091771769;74;22.014529981742
"0";"1";"0";"300";"BRAC2";710.808925557668;74;16.5240286097235
"1";"1";"0";"300";"BRAC2";807.213042653887;74;23.1906631306783
"0";"0";"1";"300";"BRAC2";736.219044202593;74;16.7590102610997
"1";"0";"1";"300";"BRAC2";857.026483897935;74;20.8983294119576
"0";"1";"1";"300";"BRAC2";738.208721475804;74;16.5001099227916
"1";"1";"1";"300";"BRAC2";821.239364467243;74;23.980156277356
